駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
那覇空港,"9,670",244,221,90.57,3,240,0,"2,747",8,3,38,31,"859,396",82,14,0,1.23,8.2,56.97,18.85,12.3,2.46,0,0,0,41.94,54.84,"2,744"
壺川,"3,709","4,667","2,114",45.3,553,"3,118",911,"10,619","2,235",979,44,55,"596,512",475,34,520,8.14,9.45,12.48,14.91,14.03,14.21,12.09,9.71,4.98,49.09,45.45,"8,396"
旭橋,"5,736","5,242","2,430",46.36,645,"3,450",984,"24,848","2,663","1,333",50,113,"2,253,388","1,481",108,"1,601",8.37,9.65,11.48,13.98,15.03,15.09,12.41,9.04,4.94,53.1,41.59,"21,521"
県庁前,"10,938","5,941","2,762",46.49,681,"3,831","1,245","28,954","2,931","1,385",47,228,"3,410,748","2,088",159,"1,742",7.87,8.94,10.87,13.48,14.17,15.42,13.25,9.81,6.18,67.11,30.7,"25,070"
美栄橋,"4,802","8,691","3,990",45.91,"1,012","5,638","1,771","16,063","4,299","2,078",48,269,"1,686,243","1,716",131,"1,139",7.99,8.94,12.03,13.69,13.39,15.35,12.67,9.69,6.25,66.17,31.23,"11,679"
牧志,"5,765","10,085","4,641",46.02,"1,107","6,408","2,311","14,281","4,933","2,441",49,751,"2,353,537","1,972",129,"1,655",7.1,8.76,12.25,13.96,12.31,14.82,12.79,10.82,7.18,63.65,35.55,"8,608"
安里,"3,593","11,347","5,178",45.63,"1,267","7,228","2,562","12,591","5,436","2,588",48,438,"1,496,702","1,479",89,"1,883",7.06,9.48,12.89,13.56,12.11,14.62,12.36,10.66,7.25,57.99,40.64,"6,186"
おもろまち,"9,915","6,084","2,861",47.02,868,"3,953","1,112","10,174","2,825","1,280",45,110,"1,476,304",508,27,"1,099",10.21,9.15,12.45,17.51,13.6,12.62,9.99,8.65,5.81,58.18,38.18,"6,603"
古島,"4,187","8,651","4,068",47.02,"1,690","5,653","1,200","7,912","3,409","1,118",33,57,"790,668",450,23,"1,014",13.34,12.1,12,18.05,14.29,11.39,8.42,6.67,3.73,50.88,42.11,"3,855"
市立病院前,"1,556","6,191","2,931",47.34,"1,117","3,968","1,066","6,095","2,220",548,25,38,"243,564",255,10,"1,606",11.56,12.85,10.68,14.52,13.76,13.15,10.33,8.05,5.11,36.84,55.26,"2,304"
儀保,"2,797","7,045","3,321",47.14,"1,176","4,368","1,470","4,475","2,638",651,25,51,"175,484",247,13,635,10.38,12.26,9.31,12.73,14.32,13.55,11.49,11.03,4.93,41.18,50.98,"1,050"
首里,"6,336","7,262","3,442",47.4,"1,107","4,563","1,556","5,049","2,749",728,26,66,"417,112",330,21,755,9.62,12.14,10.37,13.2,13.42,13.31,11.79,10.85,5.3,37.88,56.06,"1,392"
油島,104,112,59,52.68,16,61,34,105,39,6,15,1,0,6,1,0,10.91,7.27,7.27,13.64,10.91,11.82,16.36,10.91,10.91,100,0,48
花泉,712,"1,193",539,45.18,137,644,411,"1,772",411,105,26,38,"204,165",146,11,456,7.89,8.06,8.23,9.49,10.75,14.44,13.52,14.95,12.68,50,36.84,813
清水原,136,113,55,48.67,13,75,25,110,35,1,3,0,0,5,0,0,4.46,10.71,8.93,11.61,11.61,25,8.93,11.61,7.14,0,0,60
一ノ関,"9,228","1,996",936,46.89,237,"1,185",558,"5,461",900,373,41,108,"573,889",560,47,208,7.54,9.26,9.21,12.39,12.14,14.37,13,12.65,9.46,61.11,36.11,"4,517"
山ノ目,218,761,383,50.33,79,437,242,776,263,71,27,8,"8,470",37,1,73,6.87,7.27,7.4,11.49,9.64,16.51,14.66,15.19,10.96,37.5,50,352
平泉,"1,026",909,427,46.97,94,528,286,975,309,65,21,22,"66,408",121,16,3,6.6,8.58,8.03,11.11,11.22,14.52,16.94,14.19,8.8,36.36,50,605
前沢,"1,070","1,602",762,47.57,277,968,357,"2,388",586,149,25,66,"1,020,001",184,16,230,11.62,11.18,9.68,12.93,12.43,13.49,10.87,9.81,8,57.58,31.82,"1,584"
陸中折居,404,225,110,48.89,24,121,80,189,63,8,13,0,"2,269",7,0,0,7.62,5.83,8.97,11.21,9.87,13.45,17.04,14.8,11.21,0,0,69
水沢,"4,096","2,607","1,217",46.68,278,"1,394",917,"5,335","1,054",427,41,126,"531,677",746,61,0,7.41,6.45,8.11,11.7,10.93,12.78,14.9,14.36,13.36,61.11,33.33,"4,194"
金ケ崎,"1,246","1,172",586,50,152,667,340,"1,348",442,121,27,31,"264,229",121,9,0,8.28,9.83,8.19,13.28,11.38,12.76,13.1,14.74,8.45,45.16,35.48,911
六原,450,389,216,55.53,62,256,73,345,174,85,49,2,0,14,2,0,11.48,7.14,18.11,16.07,12.76,9.69,10.71,8.67,5.36,50,0,222
北上,"7,666","2,634","1,357",51.52,393,"1,771",429,"5,809","1,238",545,44,47,"221,009",361,17,0,10.88,8.48,9.1,18.67,18.13,12.5,9.99,6.94,5.32,65.96,31.91,"5,062"
村崎野,"1,886","1,543",737,47.76,188,972,366,"1,149",586,177,30,8,"81,736",54,3,0,7.47,9.31,8.98,13.04,12.71,15.99,15.86,10.55,6.09,62.5,25,541
花巻,"6,898","2,329","1,103",47.36,297,"1,468",551,"3,036","1,023",389,38,70,"894,386",239,19,500,8.51,8.94,12,14.68,13.56,12,13.43,10.45,6.43,50,40,"1,715"
花巻空港,"1,468","1,164",564,48.45,138,705,316,"1,171",427,101,24,17,"60,653",78,3,0,7.15,9.22,9.91,11.97,13.18,12.83,17.23,12.06,6.46,41.18,52.94,703
石鳥谷,"2,398","1,608",749,46.58,285,951,372,"1,478",546,103,19,22,"197,542",74,4,474,10.57,12.55,7.77,13.18,14.42,12.18,12.06,11.06,6.22,50,40.91,391
日詰,"1,086","1,107",511,46.16,201,724,183,988,379,71,19,9,"31,562",57,4,139,12.83,10.48,12.01,16.08,13.1,12.83,9.49,8.58,4.61,33.33,33.33,481
紫波中央,24,"2,062",988,47.91,425,"1,319",317,"1,354",703,129,18,18,"96,020",79,5,209,12.76,14.07,8.3,15.48,16.74,11.84,10.87,6.65,3.3,44.44,38.89,521
古館,"1,748","1,458",685,46.98,169,971,318,633,503,70,14,6,"6,924",32,2,0,7.13,8.64,9.88,12.21,11.32,17.49,19,10.01,4.32,33.33,33.33,88
矢幅,"5,994","2,620","1,250",47.71,444,"1,759",412,"2,169",980,268,27,31,"366,148",122,9,398,11.09,11.89,11.01,14.64,14.3,14.22,11.81,6.61,4.43,61.29,29.03,934
岩手飯岡,"4,796","3,205","1,532",47.8,457,"2,174",551,"2,148","1,260",366,29,23,"359,279",147,9,0,9.55,10.28,11.06,15.59,13.7,14.11,14.08,7.45,4.18,30.43,52.17,"1,082"
仙北町,"3,052","4,669","2,238",47.93,651,"3,069",895,"4,053","2,118",893,42,46,"395,455",223,6,726,9.08,10.31,13.15,15.31,13.95,12.5,11.41,9.21,5.09,43.48,45.65,"1,724"
盛岡,"36,880","3,747","1,703",45.45,379,"2,678",518,"15,827","2,086","1,243",60,219,"1,819,998",888,69,"1,481",7.47,11.56,14.16,14.47,15.98,14.94,11.14,6.83,3.47,60.73,36.99,"13,522"
厨川,"2,891","2,998","1,392",46.43,445,"2,130",398,"2,859","1,214",449,37,34,"657,737",138,9,612,9.32,16.78,15.14,13.08,14.46,12.95,8.75,6.19,3.33,61.76,26.47,"1,336"
滝沢,"3,114","2,263","1,101",48.65,247,"1,636",368,851,977,364,37,3,"23,759",31,3,0,6,14.53,15.56,9.69,11.33,17.24,14.67,6.93,4.04,33.33,100,141
渋民,659,592,282,47.64,72,385,135,336,206,35,17,5,"22,089",18,2,0,8.11,8.78,9.29,12.67,13.85,14.36,16.89,9.29,6.76,40,40,112
好摩,"1,226","1,295",618,47.72,187,802,308,"1,307",492,124,25,17,"144,447",82,3,247,9.26,9.88,10.26,12.04,12.04,16.2,12.81,11.42,6.1,47.06,35.29,567
岩手川口,278,698,332,47.56,80,386,231,500,242,53,22,9,"15,816",34,1,0,7.75,7.46,8.46,9.47,11.19,14.63,14.92,14.06,12.05,33.33,66.67,162
いわて沼宮内,989,703,324,46.09,69,414,220,598,287,86,30,8,"161,564",42,1,0,5.71,9.42,7.13,10.7,12.55,14.41,16.98,14.84,8.27,25,50,260
御堂,42,131,66,50.38,14,78,39,142,41,9,22,2,0,8,0,51,6.15,13.85,6.92,8.46,13.08,14.62,13.08,13.85,10,50,50,21
奥中山高原,340,594,267,44.95,76,354,164,594,209,53,25,9,"57,749",25,0,110,7.23,9.41,9.41,13.11,10.76,15.8,12.27,13.78,8.24,55.56,33.33,217
小繋,16,18,9,50,0,9,9,17,9,4,44,1,0,1,0,0,0,0,14.29,0,7.14,21.43,14.29,35.71,7.14,0,100,1
小鳥谷,150,381,176,46.19,29,182,171,401,158,46,29,9,"7,572",26,0,76,4.7,6.01,5.22,8.36,9.4,14.36,16.71,22.19,13.05,44.44,55.56,125
一戸,672,"1,292",614,47.52,143,751,398,"1,260",516,142,28,39,"175,189",103,7,123,7.03,8.5,6.96,8.35,11.9,17.16,16.77,13.52,9.81,43.59,46.15,568
二戸,"1,580","1,141",524,45.92,141,642,354,"1,745",457,123,27,20,"176,394",110,8,348,7.84,8.46,7.67,11.45,11.54,14.36,15.59,13.48,9.6,35,55,908
斗米,149,775,365,47.1,102,457,214,544,304,78,26,12,"102,622",38,0,33,7.76,8.93,7.37,14.1,11.77,13.2,16.43,11.77,8.67,41.67,41.67,177
金田一温泉,211,734,353,48.09,94,413,231,500,282,68,24,9,"34,467",37,0,0,7.33,10.58,7.19,10.45,12.21,13.43,15.88,13.7,9.23,22.22,77.78,178
一ノ関,"9,124","1,996",936,46.89,237,"1,185",558,"5,461",900,373,41,108,"573,889",560,47,208,7.54,9.26,9.21,12.39,12.14,14.37,13,12.65,9.46,61.11,36.11,"4,517"
真滝,148,283,125,44.17,25,129,132,343,79,11,14,5,"37,869",17,0,67,5.23,7.32,6.62,6.27,9.06,11.85,12.89,16.72,24.04,40,40,118
陸中門崎,278,110,52,47.27,17,57,37,103,34,7,21,1,0,10,0,0,8.04,10.71,4.46,10.71,7.14,16.07,16.07,15.18,11.61,0,0,57
岩ノ下,136,130,67,51.54,13,73,47,78,36,3,8,0,0,5,0,0,3.7,9.63,5.93,7.41,12.59,14.81,20,17.04,8.89,0,0,10
陸中松川,110,251,124,49.4,18,154,87,291,71,5,7,3,0,17,0,0,2.68,12.64,6.51,6.9,13.79,14.56,14.56,16.86,11.49,0,66.67,167
猊鼻渓,234,359,182,50.7,41,179,140,627,123,26,21,25,"119,417",59,4,0,7.52,7.8,2.79,9.47,13.37,13.65,14.76,20.61,10.03,44,52,461
柴宿,262,646,298,46.13,90,402,153,386,239,55,23,2,0,12,0,1,8.05,9.13,7.43,14.86,13.16,13,17.8,12.38,4.18,0,50,103
摺沢,692,720,337,46.81,98,404,216,917,272,69,25,20,"194,732",79,6,176,9.21,8.65,7.53,10.88,12.97,13.81,13.39,14.5,9.07,35,50,423
千厩,558,496,236,47.58,64,284,148,"1,294",192,56,29,27,"251,485",72,5,0,7.46,10.08,8.87,10.28,14.11,11.09,15.52,12.5,10.08,40.74,37.04,"1,070"
小梨,100,158,86,54.43,14,86,61,160,47,6,13,3,0,12,1,41,4.35,7.45,8.7,8.7,8.7,16.15,16.15,15.53,14.29,0,100,42
矢越,186,189,97,51.32,21,106,62,293,58,10,17,5,"56,507",19,0,88,7.45,9.04,6.38,10.11,9.04,15.43,17.02,11.17,14.36,20,40,109
折壁,196,520,251,48.27,56,284,180,561,170,30,18,14,"95,126",47,2,116,6.54,7.69,4.81,10.96,10.77,16.54,15,15.19,12.5,50,42.86,215
新月,62,176,91,51.7,20,104,58,122,50,5,10,4,0,6,0,3,5.52,9.39,6.08,8.29,14.92,18.23,15.47,15.47,6.63,25,25,28
陸前矢作,76,292,134,45.89,36,136,117,192,97,17,18,1,0,11,0,0,6.94,9.38,2.78,8.68,12.85,11.81,15.97,20.49,11.11,0,100,26
竹駒,88,188,85,45.21,19,94,75,331,66,11,17,2,0,18,0,0,6.45,6.45,4.84,10.22,9.14,14.52,17.74,16.67,13.98,0,50,229
陸前高田,440,"1,280",618,48.28,175,717,388,"1,786",521,169,32,61,"530,506",225,15,0,8.59,9.06,5.7,13.75,14.14,12.03,14.06,14.61,8.05,52.46,37.7,"1,300"
脇ノ沢,92,607,285,46.95,89,320,199,468,205,44,21,3,39,29,0,39,10.71,6.43,6.59,12.52,10.05,10.54,20.1,15.65,7.41,0,100,134
小友,204,236,109,46.19,26,119,90,145,77,14,18,6,"11,253",11,0,0,4.68,11.06,3.4,8.94,11.06,12.34,20,17.45,11.06,16.67,66.67,39
細浦,160,840,386,45.95,90,448,304,837,288,75,26,21,"52,125",63,2,0,4.52,10.94,5.83,7.85,13.32,12.6,19.02,16.77,9.16,61.9,38.1,442
下船渡,28,939,434,46.22,114,495,329,841,312,62,20,17,"76,017",63,1,0,7.57,8.85,5.65,8.74,12.15,13.43,18.44,15.67,9.49,17.65,64.71,402
大船渡,92,"1,913",901,47.1,197,"1,103",607,"2,883",809,285,35,85,"507,174",383,23,153,5.97,8.96,6.6,10.59,12.37,14.94,15.67,14.68,10.22,49.41,43.53,"1,935"
盛,656,"1,773",804,45.35,205,"1,026",540,"2,231",769,313,41,104,"557,910",289,16,0,7.46,7.41,9.67,13.57,11.93,12.21,15.04,12.55,10.18,57.69,32.69,"1,583"
北上,"6,934","2,634","1,357",51.52,393,"1,771",429,"5,809","1,238",545,44,47,"221,009",361,17,0,10.88,8.48,9.1,18.67,18.13,12.5,9.99,6.94,5.32,65.96,31.91,"5,062"
柳原,148,"2,795","1,375",49.19,408,"1,765",592,"2,860","1,248",555,44,41,"585,770",200,20,317,10.16,9,12.91,17.61,12.69,10.63,10.45,9.26,7.3,56.1,36.59,"1,612"
江釣子,156,"1,150",542,47.13,233,714,200,"1,577",373,68,18,14,"229,702",73,6,610,12.9,12.55,10.11,15.78,15.08,11.42,8.98,9.85,3.31,50,28.57,579
藤根,372,932,447,47.96,151,548,233,897,305,47,15,15,"30,005",70,2,144,10.83,10.4,8.25,14.15,12.54,12.22,12.33,13.5,5.79,33.33,53.33,440
立川目,220,690,340,49.28,91,381,218,590,214,36,17,6,"13,426",42,2,0,7.25,10.29,6.81,10.87,11.88,13.19,16.09,14.78,8.84,33.33,66.67,316
横川目,294,553,264,47.74,54,320,178,679,184,39,21,13,"27,110",42,2,200,5.42,9.22,7.59,9.4,10.49,17.72,15.73,14.29,10.13,30.77,53.85,236
岩沢,102,117,57,48.72,5,51,61,75,50,12,24,3,0,3,0,0,3.39,2.54,5.93,3.39,11.86,15.25,11.86,32.2,13.56,0,100,6
和賀仙人,54,83,42,50.6,4,39,38,93,30,6,20,0,0,4,0,0,3.66,4.88,6.1,4.88,8.54,17.07,17.07,20.73,17.07,0,0,48
ゆだ錦秋湖,62,114,55,48.25,6,59,50,106,43,10,23,2,0,6,0,0,3.45,3.45,11.21,6.9,6.9,13.79,21.55,20.69,12.07,50,50,24
ほっとゆだ,304,518,228,44.02,50,255,215,673,220,65,30,12,"28,678",62,3,23,6.76,5.98,6.18,6.56,8.49,16.02,15.83,18.53,15.64,33.33,58.33,401
ゆだ高原,66,50,25,50,1,29,18,43,20,5,25,1,0,3,0,0,4.08,0,4.08,8.16,4.08,30.61,16.33,14.29,18.37,0,100,14
花巻,"6,562","2,329","1,103",47.36,297,"1,468",551,"3,036","1,023",389,38,70,"894,386",239,19,500,8.51,8.94,12,14.68,13.56,12,13.43,10.45,6.43,50,40,"1,715"
似内,30,272,133,48.9,28,160,86,155,70,7,10,1,0,6,0,0,7.69,5.49,9.16,11.72,8.06,18.32,15.02,13.55,10.99,0,100,36
新花巻,"1,884",275,119,43.27,34,163,79,263,79,11,14,6,"260,854",25,2,0,8.3,8.66,7.58,9.75,11.91,13.72,19.86,10.11,10.11,33.33,50,153
小山田,72,139,69,49.64,17,92,31,67,44,6,14,2,0,4,0,0,9.35,9.35,12.23,15.11,8.63,15.83,10.79,11.51,7.19,50,100,7
土沢,362,592,274,46.28,74,309,209,860,210,51,24,35,"328,663",114,9,7,5.56,10.94,5.56,9.6,12.12,12.46,15.66,17.34,10.77,48.57,37.14,582
晴山,162,226,101,44.69,22,114,92,178,78,22,28,3,"18,259",21,1,4,5.68,6.55,4.8,10.04,7.42,15.72,18.78,15.72,15.28,33.33,66.67,54
岩根橋,56,51,23,45.1,7,20,23,38,20,8,40,0,0,1,0,0,10,4,4,8,14,14,8,20,18,0,0,1
宮守,190,269,123,45.72,30,152,91,379,99,27,27,5,"51,135",38,2,69,6.93,8.39,9.12,9.12,9.49,13.87,16.79,14.6,11.68,40,60,186
柏木平,42,53,24,45.28,0,32,20,32,20,4,20,0,0,2,0,0,0,0,10,10,0,28,18,10,24,0,0,9
鱒沢,218,151,74,49.01,11,82,61,173,44,10,23,4,"6,587",5,0,30,4.55,3.25,7.14,8.44,8.44,20.13,13.64,21.43,12.99,25,50,58
荒谷前,56,83,36,43.37,8,42,33,55,25,8,32,0,0,6,0,0,3.8,7.59,10.13,6.33,11.39,10.13,12.66,22.78,15.19,0,0,15
岩手二日町,38,129,63,48.84,17,67,45,99,42,8,19,3,"4,144",7,0,0,7.87,8.66,4.72,8.66,10.24,17.32,11.81,14.96,15.75,33.33,66.67,28
綾織,28,131,59,45.04,14,62,54,111,42,4,10,3,0,4,0,0,6.98,6.98,4.65,10.08,7.75,14.73,20.93,14.73,13.18,33.33,33.33,40
遠野,652,"2,408","1,135",47.13,266,"1,315",824,"2,869","1,002",326,33,113,"687,488",377,21,32,7.03,8.02,7.44,9.4,11.56,13.56,14.89,18.13,9.98,57.52,36.28,"1,847"
青笹,64,210,98,46.67,19,169,100,142,64,10,16,0,0,7,0,0,4.5,4.15,7.61,10.38,6.92,17.99,23.88,14.88,9.69,0,0,49
岩手上郷,228,489,227,46.42,50,262,185,508,172,37,22,6,"7,055",35,3,66,5.63,9.26,5.84,8.05,10.26,15.69,15.69,19.11,10.46,50,33.33,189
平倉,114,80,36,45,5,42,37,42,24,3,13,1,0,1,0,0,3.53,9.41,5.88,7.06,5.88,14.12,21.18,15.29,17.65,0,0,1
足ケ瀬,12,49,22,44.9,4,16,28,36,20,8,40,0,0,0,0,0,2.22,8.89,0,6.67,11.11,4.44,8.89,42.22,15.56,0,0,0
上有住,50,13,5,38.46,1,8,9,9,7,2,29,0,0,0,0,0,0,5.88,0,5.88,11.76,11.76,23.53,23.53,17.65,0,0,0
陸中大橋,32,41,23,56.1,2,17,24,42,22,11,50,1,0,6,0,0,4.55,0,2.27,6.82,9.09,11.36,20.45,29.55,15.91,0,0,13
洞泉,92,350,164,46.86,38,181,132,279,155,52,34,2,0,10,0,0,7.08,6.23,3.97,8.22,12.46,15.01,17.85,19.26,9.92,0,50,42
松倉,660,"1,068",489,45.79,129,604,335,"1,141",440,125,28,9,"25,579",46,1,458,8.61,6.74,8.9,11.61,10.21,14.23,17.51,13.01,9.18,33.33,33.33,223
小佐野,128,"1,900",864,45.47,180,898,823,"2,053",765,222,29,34,"184,265",122,5,261,5.79,6.37,4.53,8.79,9.47,14.05,16.16,17.05,17.79,44.12,50,685
釜石,548,865,398,46.01,70,451,343,"2,845",391,159,41,71,"322,404",226,15,121,5.08,6.12,6.24,10.39,9.82,13.86,17.67,17.78,13.05,42.25,54.93,"2,367"
盛岡,"35,748","3,747","1,703",45.45,379,"2,678",518,"15,827","2,086","1,243",60,219,"1,819,998",888,69,"1,481",7.47,11.56,14.16,14.47,15.98,14.94,11.14,6.83,3.47,60.73,36.99,"13,522"
大釜,"1,034","1,289",615,47.71,240,871,171,778,464,113,24,6,"103,537",38,1,72,11.95,12.34,13.36,16.64,14.38,12.81,9.45,6.56,2.5,33.33,33.33,319
小岩井,"1,068","1,091",500,45.83,136,666,282,861,354,59,17,2,0,26,1,0,7.36,10.4,7.91,12.14,12.05,15,14.44,9.75,10.95,0,100,438
雫石,"1,148",937,443,47.28,117,566,259,846,316,65,21,20,"84,906",68,4,102,8.5,8.18,8.29,11.8,11.16,15.3,16.9,11.48,8.4,50,35,378
春木場,154,382,173,45.29,38,208,136,443,118,16,14,5,"3,543",28,1,122,6.05,8.95,7.89,6.58,12.37,15,14.74,18.16,10.26,60,60,157
赤渕,44,104,52,50,14,60,33,52,31,5,16,0,0,4,1,0,7.48,12.15,5.61,9.35,14.02,12.15,19.63,13.08,6.54,0,0,5
盛岡,"35,748","3,747","1,703",45.45,379,"2,678",518,"15,827","2,086","1,243",60,219,"1,819,998",888,69,"1,481",7.47,11.56,14.16,14.47,15.98,14.94,11.14,6.83,3.47,60.73,36.99,"13,522"
上盛岡,166,"4,785","2,225",46.5,515,"3,332",818,"7,752","2,629","1,534",58,60,"698,100",412,30,"1,819",7.12,10.5,16.72,13.98,14.21,13.85,10.89,7.35,5.38,51.67,45,"4,520"
山岸,84,"3,629","1,639",45.16,419,"2,156","1,047","2,776","1,477",400,27,21,"233,121",109,4,570,7.15,8.48,8.39,11.18,12.15,14.85,15.46,13.64,8.7,42.86,47.62,573
上米内,142,261,131,50.19,26,173,62,118,93,15,16,0,0,4,0,7,6.11,11.07,8.78,9.16,14.5,20.61,11.83,11.45,6.49,0,0,17
大志田,2,2,1,50,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浅岸,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
区界,4,39,17,43.59,5,23,16,61,17,4,24,3,"9,055",10,1,0,6.82,6.82,6.82,4.55,6.82,29.55,2.27,6.82,29.55,0,66.67,43
松草,4,17,8,47.06,1,7,7,12,6,2,33,0,0,4,0,0,0,11.76,0,5.88,11.76,23.53,11.76,17.65,17.65,0,0,4
平津戸,4,19,10,52.63,1,10,13,25,9,4,44,1,0,2,0,0,0,4.17,0,4.17,20.83,12.5,16.67,20.83,20.83,100,100,8
川内,18,66,29,43.94,5,29,33,61,29,8,28,2,0,4,0,3,3.03,10.61,4.55,1.52,7.58,13.64,16.67,25.76,16.67,50,0,21
箱石,30,101,45,44.55,5,48,52,83,45,14,31,0,0,11,0,3,0.95,4.76,3.81,5.71,8.57,15.24,19.05,28.57,13.33,0,0,28
陸中川井,84,339,151,44.54,20,157,162,369,127,41,32,7,"18,097",37,1,0,1.47,8.26,3.24,5.31,12.68,13.86,16.22,19.47,19.47,0,71.43,205
腹帯,20,77,40,51.95,8,40,29,71,29,8,28,1,0,3,0,0,3.9,12.99,3.9,6.49,7.79,15.58,20.78,15.58,12.99,0,100,15
茂市,70,242,112,46.28,27,116,102,303,96,20,21,4,"18,748",25,1,47,5.33,8.61,4.51,5.74,10.66,15.57,18.03,21.31,10.25,25,50,122
蟇目,100,277,133,48.01,33,152,92,181,106,32,30,9,"6,970",16,0,0,6.83,9.35,6.83,11.87,6.83,15.83,17.27,16.55,8.63,44.44,44.44,47
花原市,64,123,58,47.15,13,61,48,80,41,5,12,0,0,3,0,0,5.74,8.2,3.28,6.56,13.93,13.93,21.31,18.03,9.02,0,0,8
千徳,68,"1,178",566,48.05,144,705,329,"1,203",405,95,23,14,"243,426",64,2,0,7.9,7.73,8.16,11.13,11.55,16.48,16.57,11.81,8.67,42.86,14.29,676
宮古,650,"2,599","1,202",46.25,267,"1,535",790,"5,223","1,227",536,44,155,"858,888",606,39,925,6.94,6.44,8.98,12.52,10.87,14.61,16.18,12.99,10.48,63.23,31.61,"3,209"
磯鶏,522,"1,447",685,47.34,199,840,413,"1,319",568,159,28,18,"235,791",85,3,39,8.4,10.26,7.02,12.53,12.33,13.36,15.63,12.6,7.85,33.33,50,619
津軽石,238,878,419,47.72,119,499,260,744,316,67,21,9,"17,205",41,1,172,9.11,7.97,6.04,11.73,12.07,13.1,18.91,13.21,7.86,33.33,55.56,194
豊間根,344,618,281,45.47,107,350,168,592,203,41,20,10,"28,303",40,0,53,9.11,12.14,5.91,13.26,11.5,13.26,14.06,12.94,7.83,60,40,257
陸中山田,342,"2,424","1,110",45.79,327,"1,337",760,"2,631",979,307,31,82,"332,132",297,22,0,7.71,9.61,7.01,10.81,11.39,12.33,17.66,15.68,7.8,56.1,34.15,"1,446"
織笠,122,637,289,45.37,56,350,234,479,233,56,24,5,"9,845",21,1,37,4.84,8.13,6.56,8.28,8.75,16.25,19.38,15.47,12.34,0,60,84
岩手船越,278,774,374,48.32,91,438,252,627,262,43,16,11,"58,445",47,0,0,6.68,10.01,5.65,8.6,12.45,14.76,17.97,14.63,9.24,36.36,54.55,212
浪板海岸,72,326,155,47.55,32,183,124,256,118,27,23,1,0,15,0,0,5.01,9.73,3.24,6.78,8.85,20.35,17.11,15.63,13.27,0,100,50
吉里吉里,248,"1,528",720,47.12,194,835,499,"1,175",517,92,18,30,"79,477",66,4,162,6.99,10.78,4.77,9.74,12.61,13.73,16.27,16.01,9.08,30,53.33,239
大槌,158,"2,220",997,44.91,268,"1,226",727,"2,165",901,259,29,65,"424,209",258,18,37,7.25,8.51,6.26,10.81,10.81,13.69,18.33,15.54,8.78,46.15,43.08,"1,075"
鵜住居,458,"1,101",521,47.32,144,624,333,"1,419",417,98,24,23,"106,466",77,3,541,7.99,8.53,7.53,11.71,11.98,13.79,16.24,13.97,8.26,43.48,47.83,391
両石,40,500,244,48.8,51,250,201,377,190,43,23,4,"32,599",19,0,0,6.77,7.17,4.78,8.37,9.56,14.34,17.93,24.1,6.97,0,75,86
釜石,542,865,398,46.01,70,451,343,"2,845",391,159,41,71,"322,404",226,15,121,5.08,6.12,6.24,10.39,9.82,13.86,17.67,17.78,13.05,42.25,54.93,"2,367"
茂市,64,242,112,46.28,27,116,102,303,96,20,21,4,"18,748",25,1,47,5.33,8.61,4.51,5.74,10.66,15.57,18.03,21.31,10.25,25,50,122
岩手刈屋,84,286,135,47.2,29,134,124,406,91,18,20,5,"5,340",23,0,19,5.57,7.67,6.97,5.23,8.71,15.68,12.89,22.3,14.98,20,80,259
中里,24,91,46,50.55,7,53,31,63,25,1,4,0,0,2,0,0,5.49,6.59,6.59,7.69,7.69,24.18,9.89,13.19,18.68,0,0,15
岩手和井内,40,105,47,44.76,7,49,51,81,45,16,36,0,0,4,0,0,1.9,5.71,3.81,6.67,10.48,14.29,17.14,22.86,17.14,0,0,20
岩手大川,96,50,24,48,3,22,32,46,24,8,33,0,0,1,0,0,1.85,7.41,5.56,7.41,5.56,11.11,12.96,27.78,20.37,0,0,4
浅内,20,118,57,48.31,18,52,48,128,41,9,22,1,0,11,0,7,9.4,7.69,2.56,7.69,10.26,15.38,12.82,22.22,11.97,0,0,77
二升石,6,174,79,45.4,21,86,67,137,67,14,21,4,"15,170",8,0,9,8.05,8.05,3.45,8.05,9.2,17.24,16.67,21.26,8.05,25,50,34
岩泉,24,672,333,49.55,78,380,214,868,303,116,38,26,"116,503",88,7,131,7.44,7.59,5.21,12.8,11.16,15.18,16.67,14.14,9.82,42.31,50,444
好摩,"1,226","1,295",618,47.72,187,802,308,"1,307",492,124,25,17,"144,447",82,3,247,9.26,9.88,10.26,12.04,12.04,16.2,12.81,11.42,6.1,47.06,35.29,567
東大更,102,124,64,51.61,10,78,36,72,39,5,13,0,0,1,0,0,3.28,8.2,10.66,6.56,11.48,21.31,16.39,12.3,9.84,0,0,1
