駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
倉敷,"32,406","3,581","1,614",45.07,352,"2,066","1,067","9,140","1,740",801,46,199,"1,558,673",849,94,183,6.63,7.29,9.38,12.22,12.65,12.65,15.72,13.8,9.67,68.34,30.15,"7,514"
清音,"3,738","1,097",540,49.23,159,654,274,594,371,82,22,5,"16,898",43,0,0,9.29,10.76,10.58,12.79,12.51,11.78,13.43,10.49,8.37,20,60,209
総社,"6,416","3,247","1,565",48.2,484,"2,091",650,"3,771","1,366",521,38,73,"777,580",250,16,545,10.29,9.7,12.12,15.53,12.03,12.24,14.14,8.46,5.49,64.38,30.14,"2,103"
豪渓,290,218,111,50.92,19,123,76,210,82,16,20,1,0,14,0,0,5.53,5.99,4.15,13.82,8.29,13.36,23.04,14.29,11.52,0,0,105
日羽,206,221,111,50.23,25,117,76,149,68,7,10,1,"8,157",7,0,0,8.72,5.96,6.88,10.55,9.63,11.93,22.94,13.3,10.09,100,0,41
美袋,538,354,160,45.2,31,185,138,484,131,23,18,3,"3,207",29,0,140,4.49,7.87,7.58,9.55,10.96,11.8,17.98,18.26,11.52,66.67,66.67,160
備中広瀬,158,194,92,47.42,41,122,39,183,64,13,20,1,0,11,1,21,12.44,12.94,9.45,9.45,11.44,17.41,13.43,6.47,6.97,0,0,83
備中高梁,"3,984","2,761","1,315",47.63,228,"1,753",753,"3,950","1,453",836,58,73,"317,243",342,28,369,5.27,12.29,18.88,8.05,9.22,11.31,13.39,11.78,9.81,45.21,46.58,"2,529"
木野山,104,387,167,43.15,35,194,158,368,118,15,13,2,0,25,2,3,6.19,7.73,6.96,7.73,9.02,12.37,16.49,14.69,18.81,0,50,188
備中川面,144,282,136,48.23,32,152,98,277,96,17,18,2,265,17,1,85,8.13,6.71,9.19,9.19,6.71,17.67,15.19,15.55,11.66,0,100,66
方谷,30,35,16,45.71,1,16,19,30,16,4,25,0,0,3,0,0,2.78,2.78,0,5.56,13.89,11.11,19.44,19.44,25,0,0,9
井倉,106,188,91,48.4,17,98,74,301,71,11,15,4,"2,795",27,1,50,4.79,7.45,5.85,6.38,6.91,19.15,17.02,16.49,15.96,50,50,158
石蟹,240,530,242,45.66,43,284,203,746,200,46,23,11,"222,223",37,3,200,5.67,7.56,6.43,7.75,10.96,14.56,17.2,17.01,12.85,54.55,27.27,286
新見,"1,630","1,187",553,46.59,136,695,356,"2,158",553,254,46,61,"521,903",231,24,0,8,8.59,10.03,11.79,10.19,15,12.64,12.3,11.46,60.66,34.43,"1,693"
布原,2,13,6,46.15,1,6,9,12,5,2,40,0,0,0,0,0,0,14.29,0,0,7.14,14.29,28.57,28.57,7.14,0,0,0
備中神代,36,123,57,46.34,9,52,63,152,44,11,25,0,0,12,0,0,2.38,9.52,4.76,6.35,10.32,13.49,9.52,25.4,18.25,0,0,82
足立,22,24,11,45.83,2,8,9,40,11,3,27,1,"2,348",2,0,0,0,6.25,0,6.25,12.5,12.5,18.75,25,18.75,0,0,26
新郷,26,19,9,47.37,2,4,4,12,6,1,17,1,0,1,0,0,0,18.18,9.09,0,9.09,18.18,9.09,18.18,18.18,100,0,2
美作河井,26,68,27,39.71,6,30,33,62,30,10,33,2,0,3,0,0,5.97,1.49,7.46,7.46,5.97,16.42,10.45,25.37,19.4,0,100,19
知和,18,43,19,44.19,5,19,15,41,14,2,14,0,0,1,0,0,5,17.5,5,7.5,12.5,10,10,20,12.5,0,0,16
美作加茂,162,294,135,45.92,37,165,92,263,106,24,23,9,"35,424",24,1,0,7.8,8.14,7.8,9.15,9.15,14.24,18.64,14.58,10.51,66.67,22.22,124
