駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8098,田川市立病院,172,944,451,47.78,209,581,154,696,347,82,24,6,"18,149",29,3,24,16.76,10.92,8.7,15.91,12.09,12.2,11.56,7.74,4.14,50,50,347
8099,下伊田,248,"1,349",626,46.4,198,791,360,"1,194",638,268,42,20,"441,129",65,9,29,9.86,8.97,10.16,13.94,10.01,11.49,16.09,13.27,6.23,20,50,585
8100,田川伊田,738,"2,204",960,43.56,258,"1,319",626,"3,370","1,069",463,43,132,"422,257",433,28,376,7.67,9.12,11.89,11.93,9.75,12.21,15.79,12.52,9.12,59.09,38.64,"2,149"
8101,勾金,354,"1,154",507,43.93,135,666,353,"1,025",501,152,30,11,"17,546",27,2,129,7.55,9.54,8.15,9.45,10.06,15.18,17.35,13.7,9.02,18.18,72.73,240
8102,柿下温泉口,27,546,244,44.69,69,309,168,407,215,58,27,1,"1,025",7,0,95,8.59,9.32,9.32,8.41,9.14,16.82,14.63,12.43,11.33,0,100,37
8103,内田,40,297,141,47.47,27,178,101,221,99,29,29,0,175,4,0,0,6.27,7.26,10.56,8.91,6.93,19.14,14.19,12.54,14.19,0,0,51
8104,油須原,111,295,136,46.1,42,173,81,217,116,29,25,2,"13,382",11,1,21,9.8,7.43,7.43,14.86,6.42,15.2,18.92,10.47,9.46,50,100,53
8105,源じいの森,56,108,51,47.22,12,64,34,100,45,14,31,1,0,9,4,0,4.55,11.82,10,9.09,10,12.73,19.09,17.27,5.45,0,0,51
8106,崎山,55,119,50,42.02,15,53,51,81,44,12,27,0,0,2,0,0,6.72,8.4,3.36,6.72,14.29,10.08,20.17,21.01,9.24,0,0,6
8107,犀川,346,911,422,46.32,114,520,283,"1,175",330,73,22,32,"135,152",92,3,321,7.3,9.69,7.73,12.42,10.13,13.29,15.25,12.96,11.22,37.5,53.13,468
8108,東犀川三四郎,64,198,91,45.96,13,116,68,126,67,11,16,1,"2,298",6,0,0,3.03,8.08,8.59,7.07,11.11,16.16,19.19,16.16,10.61,0,0,24
8109,新豊津,311,161,78,48.45,16,98,47,117,62,18,29,1,"4,175",7,2,0,6.17,8.02,7.41,13.58,11.73,16.67,16.67,11.73,8.02,100,0,34
8110,豊津,78,307,134,43.65,33,168,106,223,118,28,24,5,"15,000",12,0,0,5.88,10.46,4.58,8.5,13.73,13.07,18.95,15.36,9.48,40,60,55
8111,今川河童,56,749,356,47.53,104,468,169,689,294,86,29,3,"37,660",32,0,74,9.04,9.85,9.85,14.04,11.2,12.69,19.16,9.18,4.99,33.33,66.67,287
8112,美夜古泉,135,"1,274",633,49.69,207,787,278,"1,296",505,142,28,4,"29,692",39,1,296,11.31,9.74,10.92,15.71,11.63,11.08,14.85,9.9,4.87,50,75,468
8113,行橋,837,"3,392","1,551",45.73,410,"2,105",865,"5,127","1,608",714,44,143,"940,655",651,59,29,8.73,6.93,10.45,15.92,12.31,12.04,13.91,10.3,9.41,57.34,40.56,"3,821"
8114,金田,277,"1,547",715,46.22,197,899,452,"1,633",615,171,28,48,"110,356",131,3,57,8.79,7.88,8.14,11.5,8.79,15.18,17.31,12.27,10.14,41.67,47.92,747
8115,豊前大熊,67,"1,233",533,43.23,172,629,432,995,459,148,32,7,"17,714",38,0,0,8.83,9.88,8.1,9.07,9.31,13.04,13.28,13.2,15.3,28.57,42.86,231
8116,松山,30,"1,049",480,45.76,138,592,320,719,397,119,30,4,"3,702",20,0,0,8.58,8.87,8.29,10.87,9.53,14.87,15.25,12.77,10.96,50,50,133
8117,糸田,198,"2,262","1,010",44.65,262,"1,307",693,"2,150",980,313,32,27,"89,391",70,3,552,7.26,8.27,9.96,10.22,8.76,15.22,17.39,14.38,8.54,33.33,44.44,401
8118,大藪,231,"1,725",785,45.51,243,"1,029",451,"2,607",757,263,35,44,"955,047",137,13,488,9.12,9.64,9.58,12.08,9.64,14.92,16.09,12.25,6.68,36.36,50,"1,341"
8119,田川後藤寺,505,"2,414","1,082",44.82,310,"1,366",734,"2,917","1,084",386,36,94,"415,145",247,18,426,8.63,8.22,8.71,11.37,11.24,12.74,15.35,13.82,9.92,50,43.62,"1,395"
8120,田川伊田,738,"2,198",962,43.77,260,"1,310",627,"3,310","1,064",455,43,129,"416,652",424,28,351,7.7,8.97,11.66,11.94,9.75,12.3,15.99,12.57,9.11,58.91,38.76,"2,108"
8121,上伊田,79,"1,302",584,44.85,160,808,330,"1,007",595,227,38,9,"17,047",42,3,253,7.86,10.32,10.17,11.79,11.71,14.71,14.48,11.09,7.86,33.33,55.56,143
8122,勾金,354,"1,154",507,43.93,135,666,353,"1,025",501,152,30,11,"17,546",27,2,129,7.55,9.54,8.15,9.45,10.06,15.18,17.35,13.7,9.02,18.18,72.73,240
8123,柿下温泉口,27,546,244,44.69,69,309,168,407,215,58,27,1,"1,025",7,0,95,8.59,9.32,9.32,8.41,9.14,16.82,14.63,12.43,11.33,0,100,37
8124,内田,40,295,138,46.78,27,178,100,221,101,31,31,0,44,4,0,0,6.49,7.14,10.39,9.42,7.14,19.16,13.64,12.66,13.96,0,0,55
8125,赤,56,222,100,45.05,29,138,56,312,77,22,29,1,910,11,0,100,10.27,7.14,10.71,14.73,7.14,14.29,19.2,9.38,7.14,0,0,96
8126,油須原,111,296,136,45.95,42,173,81,216,116,29,25,2,"13,074",11,1,20,9.8,7.43,7.43,14.86,6.42,15.2,18.92,10.47,9.46,50,100,53
8127,源じいの森,56,108,51,47.22,12,64,34,101,45,14,31,1,0,10,5,0,4.59,11.93,10.09,9.17,10.09,12.84,19.27,16.51,5.5,0,0,52
8128,崎山,55,118,50,42.37,15,53,51,80,44,12,27,0,0,2,0,0,6.78,8.47,3.39,6.78,14.41,10.17,20.34,20.34,9.32,0,0,6
8129,犀川,346,901,418,46.39,113,515,278,"1,155",326,72,22,32,"132,494",91,3,311,7.3,9.73,7.63,12.39,10.29,13.27,15.27,12.94,11.17,37.5,53.13,463
8130,東犀川三四郎,64,198,91,45.96,13,116,68,126,67,11,16,1,"2,298",6,0,0,3.03,8.08,8.59,7.07,11.11,16.16,19.19,16.16,10.61,0,0,24
8131,新豊津,311,162,78,48.15,16,99,48,117,62,18,29,1,"4,064",7,2,0,6.13,7.98,7.36,13.5,11.66,16.56,16.56,12.27,7.98,100,0,34
8132,豊津,78,304,133,43.75,32,167,105,221,117,28,24,5,"14,710",11,0,0,5.61,10.56,4.62,8.58,13.53,13.2,19.14,15.18,9.57,40,60,54
8133,今川河童,56,749,356,47.53,104,468,169,689,294,86,29,3,"37,660",32,0,74,9.04,9.85,9.85,14.04,11.2,12.69,19.16,9.18,4.99,33.33,66.67,287
8134,美夜古泉,135,"1,290",643,49.84,210,799,280,"1,278",511,145,28,4,"27,677",39,1,276,11.32,9.69,11.01,15.74,11.63,11.09,14.81,9.92,4.81,50,75,464
8135,行橋,837,"3,362","1,555",46.25,417,"2,103",829,"4,879","1,592",709,45,132,"901,352",607,57,2,9.05,6.93,10.85,16.49,12.34,11.86,13.5,9.92,9.05,57.58,40.91,"3,653"
8136,小郡,"1,140","4,193","1,935",46.15,535,"2,743",915,"4,649","1,656",453,27,105,"884,406",341,22,641,8.06,10.62,10.88,12.21,12.88,15.43,14.55,9.66,5.7,50.48,44.76,"2,456"
8137,大板井,48,"2,571","1,193",46.4,368,"1,671",532,"1,806",916,166,18,18,"155,658",75,2,0,9.19,10.2,9.85,13.04,11.33,15.88,15.84,8.76,5.92,22.22,55.56,794
8138,松崎,410,533,249,46.72,46,313,173,"1,199",183,35,19,9,"55,122",57,3,16,4.7,9.21,8.46,10.15,10.9,14.66,17.11,16.54,8.27,22.22,66.67,912
8139,今隈,106,955,448,46.91,133,496,322,910,256,51,20,8,"52,928",24,3,0,9.99,8.2,7.89,12.2,9.67,10.94,12.83,11.78,16.51,25,62.5,409
8140,西太刀洗,183,"1,267",586,46.25,181,677,405,"1,507",357,77,22,8,"36,034",45,3,226,8.95,10.29,8.63,12.67,9.66,10.61,13.22,11.96,14.01,37.5,50,659
8141,山隈,199,"1,435",686,47.8,213,996,227,"1,152",415,69,17,5,"36,385",43,4,0,8.16,15.13,9.76,11.44,16.11,16.04,12.06,7.04,4.25,40,40,585
8142,太刀洗,225,"1,602",749,46.75,306,944,351,"1,156",494,80,16,3,"22,613",45,5,0,12.55,12.3,8.43,14.79,13.17,10.8,10.61,8.18,9.18,33.33,66.67,601
8143,高田,59,491,236,48.07,61,288,142,460,148,23,16,2,"2,224",17,0,0,7.33,9.37,9.16,11.61,13.03,12.42,15.07,14.26,7.74,100,0,259
8144,甘木,577,"2,062",953,46.22,290,"1,247",518,"2,274",834,295,35,58,"277,864",202,9,62,9.53,9.29,9.63,14.83,10.85,12.45,13.96,10.55,8.9,43.1,51.72,"1,473"
8146,曽根田,781,"3,782","1,757",46.46,466,"2,281",893,"7,236","1,881",969,52,104,"1,522,752",484,23,954,8.16,9.2,9.67,13.76,15.35,12.66,12.19,9.2,9.8,52.88,40.38,"5,039"
8147,美術館図書館前,475,"3,466","1,669",48.15,466,"2,188",750,"3,700","1,633",726,44,18,"77,753",117,5,"1,570",8.96,8.93,10.19,14.31,13.72,14.6,13.04,9.31,6.93,44.44,50,750
8148,岩代清水,887,"3,986","1,869",46.89,591,"2,435",925,"2,920","1,612",455,28,34,"294,222",148,3,165,9.39,9.9,8.66,14.48,13.82,13.24,12.83,10.93,6.76,38.24,55.88,"1,143"
8149,泉,414,"3,661","1,717",46.9,520,"2,164",946,"2,736","1,459",399,27,31,"176,557",128,3,224,8.79,9.83,7.74,13.88,13.08,13.27,13.74,12.34,7.33,38.71,54.84,921
8150,上松川,697,"3,973","1,840",46.31,591,"2,288","1,058","2,776","1,582",432,27,36,"147,404",119,6,170,8.56,11.66,7.49,12.32,12.86,13.34,13.24,12.7,7.83,38.89,52.78,895
8151,笹谷,"1,220","4,865","2,290",47.07,764,"2,860","1,193","3,602","1,952",548,28,38,"365,825",136,6,525,9.82,11.21,8.12,14.02,13.68,12.13,12.52,12.08,6.42,31.58,57.89,"1,030"
8152,桜水,611,"2,989","1,429",47.81,439,"1,757",774,"2,487","1,152",275,24,24,"264,048",90,4,60,9.46,9.96,9.26,13.6,13.53,11.38,14,12.79,6.02,54.17,45.83,"1,131"
8153,平野,744,"2,047",954,46.6,252,"1,273",504,"2,274",741,149,20,10,"79,459",102,2,259,8.18,8.08,8.82,12.37,10.2,16.66,18.48,10.25,6.95,60,30,"1,194"
8154,医王寺前,745,"1,980",946,47.78,220,"1,209",534,"1,333",738,167,23,13,"83,877",72,3,116,7.28,8.76,8.46,11.72,11.11,15.69,17.07,12.38,7.54,23.08,46.15,333
8155,花水坂,565,"2,595","1,218",46.94,299,"1,495",765,"1,841","1,037",313,30,33,"105,168",126,8,127,7.7,8.17,7.58,12.54,12.19,13.48,16.06,14.3,7.97,36.36,60.61,659
8156,飯坂温泉,959,"3,129","1,455",46.5,311,"1,718","1,074","2,763","1,296",439,34,69,"211,890",259,19,195,5.8,8.67,6.86,9.57,11.98,13.76,17.43,15.91,10.02,37.68,55.07,"1,213"
8157,白坂,130,554,280,50.54,75,358,119,467,195,42,22,0,0,15,1,0,8.14,11.03,10.31,13.2,14.65,14.1,14.29,9.58,4.7,0,0,249
8158,新白河,"5,788","1,939","1,042",53.74,341,"1,332",220,"3,239",941,473,50,22,"504,138",208,23,182,12.53,9.25,11.42,20.51,16.38,13.32,8.62,5.34,2.64,50,31.82,"2,509"
8159,白河,"1,412","2,076",993,47.83,204,"1,140",719,"3,286",942,379,40,76,"380,494",366,22,34,6.4,7.18,8.39,10.96,10.57,14.06,15.81,15.23,11.4,59.21,32.89,"2,412"
8160,久田野,316,502,243,48.41,75,301,125,270,140,17,12,4,"10,073",14,1,0,8.57,10.56,10.76,9.96,12.95,16.53,12.35,10.36,7.97,50,25,33
8161,泉崎,880,620,305,49.19,88,376,156,374,223,51,23,10,"18,929",31,2,0,10.02,7.59,9.37,13.57,9.85,15.83,15.67,10.34,7.75,50,40,159
8162,矢吹,"2,348","2,122","1,071",50.47,264,"1,292",560,"1,876",848,306,36,55,"241,389",174,16,184,8.12,8.79,9.49,12.47,10.58,15.4,16.06,11.15,7.94,50.91,41.82,860
8163,鏡石,"1,730","1,981",974,49.17,312,"1,230",431,"1,973",744,208,28,30,"116,927",131,9,579,9.94,10.3,10.65,14.71,11.42,13.55,14.31,8.83,6.29,36.67,46.67,703
8164,須賀川,"4,688","2,151","1,055",49.05,303,"1,389",432,"2,803",893,325,36,37,"655,247",133,8,694,9.98,8.85,10.07,15.48,12.75,15.06,12.19,8.94,6.68,45.95,35.14,"1,309"
8165,安積永盛,"4,558","1,752",927,52.91,229,"1,144",328,"2,653",813,391,48,43,"767,261",218,13,29,9.17,10.17,14.05,15.05,12.93,12.93,11.64,9.58,4.47,46.51,37.21,"2,066"
8166,郡山,"34,764","1,766",882,49.94,173,"1,112",390,"13,809",949,517,54,247,"3,910,255","1,006",83,637,6.64,7.36,11.6,14.65,13.94,15.37,13.34,9.75,7.36,72.06,25.51,"12,606"
8167,日和田,"1,400","1,700",826,48.59,233,"1,049",418,"1,136",601,149,25,22,"190,364",77,2,0,9.18,9.12,10.95,15.72,11.07,12.77,12.12,10.89,8.18,50,45.45,432
8168,五百川,894,320,152,47.5,32,210,86,629,91,12,13,1,0,13,2,0,4.89,10.09,11.62,10.7,12.54,15.29,14.68,14.98,5.2,0,0,505
8169,本宮,"3,884","2,392","1,158",48.41,322,"1,437",631,"2,630",895,279,31,71,"291,112",291,23,51,7.9,10.62,8.49,13.3,13.17,13.38,12.88,11.92,8.32,57.75,33.8,"1,753"
8170,杉田,"1,032",825,392,47.52,124,498,203,736,245,32,13,8,"56,792",36,0,235,9.23,11.18,9.96,11.91,10.69,16.04,11.91,9.72,9.36,25,62.5,190
8171,二本松,"4,170","2,660","1,258",47.29,315,"1,614",719,"2,680","1,065",352,33,67,"280,511",297,12,5,7.1,9.14,10.01,12.28,11.14,14.73,14.51,12.13,8.95,53.73,41.79,"1,616"
8172,安達,"1,630",937,434,46.32,153,574,210,"1,265",299,53,18,18,"469,460",44,2,315,11.41,9.49,8.85,17.06,11.3,12.15,13.43,9.06,7.25,44.44,33.33,623
8173,松川,"2,368","1,327",642,48.38,199,798,314,"1,240",438,82,19,17,"95,326",47,2,0,9.08,11.6,9.62,12.29,12.52,13.51,13.97,10.84,6.56,35.29,47.06,763
8174,金谷川,"5,648","1,377",698,50.69,47,"1,157",128,"1,562","1,026",919,90,1,0,27,3,"1,167",1.88,22.82,48.57,4.2,4.43,4.95,6.76,4.13,2.25,100,0,230
8175,南福島,"3,630","3,265","1,628",49.86,369,"2,233",543,"3,671","1,689",964,57,32,"590,634",140,10,0,7.44,12.4,18.54,13.39,12.44,12.44,10.59,7.86,4.9,37.5,46.88,"2,737"
8176,福島,"33,452","3,392","1,570",46.29,421,"2,163",672,"15,583","1,751",905,52,249,"3,347,815","1,188",102,208,8.72,8.47,9.76,15.38,16.95,13.26,11.58,8.2,7.68,59.04,37.75,"14,429"
8177,東福島,"1,492","1,304",618,47.39,190,786,275,"2,524",533,196,37,11,"92,549",59,4,"1,018",10.47,9.75,11.67,15.51,12.39,11.59,11.43,9.75,7.43,36.36,36.36,"1,015"
8178,伊達,"1,958","1,233",624,50.61,160,767,306,"1,659",429,78,18,11,"80,382",55,0,741,8.02,14.42,7.46,12.4,10.62,15.32,13.37,10.62,7.78,45.45,54.55,475
8179,桑折,"1,390","1,447",686,47.41,188,852,407,"1,016",509,125,25,27,"153,631",97,4,0,8.36,9.26,8.64,11.06,12.23,13.48,16.24,11.4,9.33,40.74,48.15,480
8180,藤田,"1,416","1,253",605,48.28,173,731,349,"1,086",444,98,22,20,"48,402",54,0,18,9.33,9.73,8.77,12.36,10.53,12.28,16.11,12.92,7.97,45,50,514
8181,貝田,238,111,51,45.95,12,65,35,96,32,7,22,2,0,3,0,0,8.18,7.27,6.36,13.64,4.55,20.91,12.73,14.55,11.82,100,0,24
8182,福島,"31,738","3,392","1,570",46.29,421,"2,163",672,"15,583","1,751",905,52,249,"3,347,815","1,188",102,208,8.72,8.47,9.76,15.38,16.95,13.26,11.58,8.2,7.68,59.04,37.75,"14,429"
8183,笹木野,310,"2,712","1,294",47.71,392,"1,641",614,"2,669","1,043",274,26,11,"224,882",88,1,28,9.15,10.4,10.06,14.52,12.29,12.56,14.79,10.06,6.16,54.55,36.36,"1,646"
8184,庭坂,832,"2,131","1,010",47.4,286,"1,283",534,"1,076",745,125,17,12,"26,031",44,1,0,8.51,9.13,8.8,11.79,12.17,14.55,16.64,11.36,7.04,58.33,41.67,226
8185,赤岩,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8186,いわき,"11,992","3,161","1,476",46.69,393,"1,906",795,"6,729","1,515",686,45,220,"1,290,364",957,91,106,7.86,9.44,7.31,13.29,14.78,13.84,13.19,11.38,8.92,62.73,35,"5,460"
8187,赤井,260,"1,238",610,49.27,209,755,266,"1,290",437,95,22,5,"13,968",42,1,145,10.49,10.65,9.51,16.5,10.73,12.68,12.93,9.59,6.91,40,40,679
8188,小川郷,656,720,339,47.08,91,419,209,652,252,49,19,11,"40,046",39,3,124,7.22,10.42,6.53,11.11,10.97,16.67,14.44,12.78,9.86,27.27,54.55,203
8189,江田,32,51,25,49.02,4,28,19,35,20,2,10,1,0,2,0,0,3.7,12.96,3.7,0,9.26,25.93,11.11,20.37,12.96,100,0,3
8190,川前,96,129,60,46.51,8,65,56,148,54,19,35,0,0,7,0,0,3.13,6.25,6.25,5.47,7.81,21.09,12.5,20.31,17.19,0,0,85
8191,夏井,64,215,108,50.23,28,120,64,149,60,14,23,3,"5,863",20,0,0,9.91,9.91,9.43,7.08,8.49,17.45,11.79,16.51,9.43,33.33,33.33,64
8192,小野新町,802,702,341,48.58,107,406,187,508,251,55,22,13,"74,614",48,4,0,9.84,9.84,8.13,12.98,11.84,14.41,11.98,10.98,9.99,15.38,69.23,216
8193,神俣,406,"1,014",482,47.53,129,573,312,"1,104",331,76,23,33,"106,244",104,7,91,6.79,11.12,8.86,8.17,13.09,13.88,13.88,15.85,8.37,45.45,42.42,581
8194,菅谷,188,373,183,49.06,51,224,99,284,110,18,16,4,"3,323",9,2,99,7.2,13.33,8.8,10.13,12.27,15.73,11.73,12.27,8.53,25,75,39
8195,大越,446,515,255,49.51,66,290,159,585,167,28,17,6,"14,057",37,1,185,7.38,10.68,8.35,7.77,13.2,13.4,15.92,12.23,11.07,83.33,16.67,176
8196,磐城常葉,574,258,128,49.61,17,150,91,218,76,10,13,5,"4,699",16,0,26,4.63,9.27,10.42,6.18,10.04,17.76,14.29,15.44,11.97,20,80,55
8197,船引,"1,840","1,962",871,44.39,238,"1,181",540,"2,563",719,220,31,49,"277,922",184,7,507,7.24,10.4,11.83,9.94,12.29,14.84,11.68,11.88,9.89,48.98,40.82,"1,335"
8198,要田,362,186,95,51.08,21,111,57,285,51,5,10,2,0,24,0,112,4.79,9.04,10.64,9.04,9.04,15.96,14.89,18.62,7.98,50,50,95
8199,三春,"2,032","1,504",718,47.74,229,956,320,652,486,67,14,8,"16,352",29,1,0,8.84,11.76,10.7,11.76,11.69,15.15,14.42,8.77,6.91,37.5,50,130
8200,舞木,"1,234","1,055",516,48.91,95,711,250,612,366,64,17,2,"4,272",28,2,6,5.02,8.71,10.32,9.75,9,21.78,18.66,10.89,5.87,50,0,181
8201,郡山,"34,764","1,766",882,49.94,173,"1,112",390,"13,809",949,517,54,247,"3,910,255","1,006",83,637,6.64,7.36,11.6,14.65,13.94,15.37,13.34,9.75,7.36,72.06,25.51,"12,606"
8202,郡山,"34,764","1,766",882,49.94,173,"1,112",390,"13,809",949,517,54,247,"3,910,255","1,006",83,637,6.64,7.36,11.6,14.65,13.94,15.37,13.34,9.75,7.36,72.06,25.51,"12,606"
8203,喜久田,498,"1,285",610,47.47,201,776,287,"1,342",459,126,27,8,"55,017",52,3,443,9.26,11.31,10.36,14,12.18,12.34,14.48,11,5.06,37.5,50,409
8204,安子ケ島,218,429,210,48.95,42,252,132,359,120,12,10,2,0,14,1,73,7.03,7.73,10.07,9.84,7.73,16.16,17.1,13.82,10.54,50,50,101
8205,磐梯熱海,604,769,331,43.04,70,430,263,921,341,141,41,17,"70,933",101,7,0,6.02,5.89,8.77,9.69,8.64,15.97,17.93,15.71,11.39,47.06,41.18,563
8206,中山宿,54,129,65,50.39,10,73,52,84,44,11,25,0,0,3,0,0,2.94,9.56,5.88,9.56,8.09,13.97,19.12,18.38,12.5,0,0,15
8207,上戸,182,178,82,46.07,28,101,53,133,43,4,9,2,0,5,0,0,9.29,11.48,7.1,9.84,9.29,16.39,12.02,13.11,11.48,0,100,38
8209,関都,102,82,36,43.9,9,49,24,83,23,2,9,2,0,4,0,0,7.23,12.05,7.23,4.82,13.25,18.07,10.84,12.05,14.46,50,50,36
