index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
218,二ツ杁,"2,574","4,120","2,055",49.88,540,"2,661",902,"4,147","1,725",575,33,48,"186,675",191,11,443,9.8,6.95,13.28,18.25,11.04,11.19,13.45,9.94,6.09,47.92,43.75,"2,237"
219,新川橋,455,"4,165","2,006",48.16,525,"2,557","1,067","4,142","1,624",457,28,51,"120,342",199,11,514,9.38,6.92,10.87,16.61,11.98,11.62,13.52,11.69,7.4,56.86,41.18,"2,044"
220,須ケ口,"7,656","3,788","1,843",48.65,505,"2,379",891,"4,610","1,457",391,27,38,"177,266",187,18,580,8.87,8.66,11.13,14.65,14.01,11.52,14.54,10.91,5.7,55.26,42.11,"2,755"
221,丸ノ内,857,"4,119","2,061",50.04,577,"2,637",883,"2,383","1,648",501,30,18,"215,344",116,7,194,9.37,9.27,11.98,16.01,13.67,11.15,13.3,10.1,5.15,44.44,38.89,729
222,新清洲,"7,629","4,616","2,277",49.33,693,"3,042",853,"2,575","1,880",596,32,38,"235,491",177,19,226,11.05,8.13,12.46,19.29,13.07,10.68,13.03,8.48,3.81,42.11,57.89,972
223,大里,"3,644","2,147","1,037",48.3,238,"1,260",649,"1,436",817,176,22,14,"64,062",77,8,0,6.76,8.39,8.43,11.88,13.37,11.23,20.46,13.33,6.15,35.71,64.29,575
224,奥田,"2,106","2,035","1,018",50.02,260,"1,272",503,"1,946",777,191,25,9,"169,334",57,8,154,7.96,9.34,10.32,14.2,13.42,11.94,17.25,11.15,4.42,33.33,44.44,"1,098"
225,国府宮,"21,433","6,070","3,056",50.35,785,"4,358",927,"5,608","2,812","1,184",42,62,"438,176",338,28,442,8.81,8.66,13.38,19.37,15.57,12.27,11.79,6.98,3.16,43.55,50,"3,273"
226,島氏永,"1,658","1,275",637,49.96,143,806,326,642,445,74,17,3,"6,347",23,1,0,6.9,9.1,10.59,11.69,12.63,14.12,17.8,11.06,6.12,0,100,133
227,妙興寺,"1,884","3,751","1,830",48.79,571,"2,504",651,"2,893","1,468",383,26,40,"1,481,817",192,21,102,10.27,9.87,11.96,17.54,14.62,11.11,13.81,7.48,3.33,45,47.5,"1,572"
