index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
153,名古屋大学,"21,148","88,546","44,070",49.77,"10,600","59,814","15,994","108,362","45,475","23,406",51.47,676,"8,499,647","3,335",362,"48,512",8.17,9.19,16.07,14.92,15,11.65,11.58,8.31,5.13,59.62,34.91,"33,159"
154,自由ヶ丘,"13,872","111,834","53,432",47.78,"14,102","72,522","23,350","92,023","52,522","21,630",41.18,756,"8,782,236","3,715",408,"24,144",8.52,8.78,11.91,14.94,14.6,12.56,13.43,9.71,5.55,57.54,36.51,"31,349"
155,茶屋ヶ坂,"13,129","112,123","54,111",48.26,"14,063","72,006","24,576","96,180","49,754","18,371",36.92,725,"10,070,055","3,580",401,"22,291",8.42,8.78,11.28,14.81,14.15,12.61,14.03,10.03,5.89,53.66,38.9,"36,289"
156,八事日赤,"12,918","88,845","44,949",50.59,"10,408","60,072","16,145","114,714","44,960","23,206",51.61,646,"6,908,686","3,054",370,"55,611",7.89,9.68,16.59,14.2,14.55,11.82,11.78,8.23,5.26,56.97,36.38,"32,243"
157,名古屋大学,"21,148","88,546","44,070",49.77,"10,600","59,814","15,994","108,362","45,475","23,406",51.47,676,"8,499,647","3,335",362,"48,512",8.17,9.19,16.07,14.92,15,11.65,11.58,8.31,5.13,59.62,34.91,"33,159"
158,本山,"28,989","99,845","48,995",49.07,"11,608","65,744","20,104","105,399","51,143","25,859",50.56,748,"8,007,221","3,956",428,"39,296",7.89,8.77,14.89,14.67,14.72,11.73,12.2,9.32,5.81,58.69,37.03,"34,980"
159,自由ヶ丘,"13,872","111,834","53,432",47.78,"14,102","72,522","23,350","92,023","52,522","21,630",41.18,756,"8,782,236","3,715",408,"24,144",8.52,8.78,11.91,14.94,14.6,12.56,13.43,9.71,5.55,57.54,36.51,"31,349"
160,茶屋ヶ坂,"13,129","112,123","54,111",48.26,"14,063","72,006","24,576","96,180","49,754","18,371",36.92,725,"10,070,055","3,580",401,"22,291",8.42,8.78,11.28,14.81,14.15,12.61,14.03,10.03,5.89,53.66,38.9,"36,289"
161,砂田橋,"14,259","117,323","56,903",48.5,"14,061","75,898","25,600","108,197","53,098","20,713",39.01,855,"11,602,549","4,579",475,"20,257",8.07,8.5,11.84,14.99,13.97,12.64,14.23,9.92,5.84,52.87,39.06,"49,067"
162,中村区役所,"10,664","115,500","58,501",50.65,"9,885","74,087","28,187","257,379","61,795","34,407",55.68,"1,836","43,439,942","13,460","1,294","20,996",5.78,7,14.56,14.81,13.05,11.93,14.59,11.69,6.59,54.19,40.52,"199,014"
163,名古屋,"94,668","108,246","54,258",50.12,"8,645","69,469","25,416","356,889","60,316","35,656",59.12,"2,248","54,676,648","19,606","1,787","21,879",5.53,6.73,15.28,15.15,13.29,12.02,13.99,11.25,6.76,57.87,37.72,"302,599"
164,国際センター,"10,936","95,436","47,564",49.84,"7,468","61,597","20,944","449,277","54,900","33,791",61.55,"3,246","85,446,889","24,816","2,302","22,943",5.55,6.66,15.76,15.61,13.73,12.11,13.49,10.6,6.48,68.02,28.96,"400,046"
165,丸の内,"11,441","92,749","45,430",48.98,"6,752","59,679","18,603","508,029","56,249","36,905",65.61,"3,794","104,730,987","28,459","2,717","25,117",5.37,6.17,15.75,16.38,14.64,12.57,13.16,9.79,6.16,72.32,24.93,"459,549"
166,久屋大通,"17,721","101,835","48,906",48.02,"7,762","64,685","20,268","454,263","61,304","39,840",64.99,"3,571","83,282,548","26,838","2,567","22,864",5.7,6.31,14.95,16.36,14.89,12.61,13.16,9.61,6.41,72.81,23.94,"405,440"
167,高岳,"15,553","108,657","52,164",48.01,"8,941","69,336","22,017","397,596","63,449","39,609",62.43,"3,231","74,394,471","24,101","2,429","25,015",6.08,6.62,14.53,16.26,14.77,12.43,13.3,9.76,6.26,72.36,23.86,"343,513"
168,車道,"13,425","134,729","65,679",48.75,"12,119","88,093","27,283","242,715","75,731","44,942",59.34,"2,236","36,331,924","15,448","1,738","31,088",6.43,7.07,14.59,15.99,14.65,12.61,13,9.53,6.13,64.27,30.46,"174,767"
169,今池,"24,203","139,036","68,215",49.06,"13,180","90,936","29,120","175,297","75,666","42,879",56.67,"1,621","17,832,200","11,367","1,250","31,647",6.62,7.46,14.57,15.54,14.29,12.43,13,9.74,6.34,57.99,35.16,"103,646"
170,吹上,"13,679","141,783","70,142",49.47,"12,659","92,699","29,744","173,934","79,290","46,806",59.03,"1,627","18,759,908","11,771","1,266","25,453",6.31,7.24,15.89,15.34,13.94,12.12,12.92,9.85,6.38,55.19,37.06,"107,901"
171,御器所,"10,149","131,152","64,686",49.32,"12,970","85,863","28,309","145,458","68,744","36,938",53.73,"1,458","15,164,421","8,581",849,"32,462",6.76,7.81,15.37,14.91,13.75,11.9,13.14,9.93,6.44,54.05,38.48,"73,048"
172,桜山,"22,896","120,821","58,444",48.37,"13,279","77,985","27,418","136,491","58,793","27,435",46.66,"1,277","14,069,816","7,215",700,"33,356",7.35,8.14,13.54,14.6,13.83,12.02,13.5,10.26,6.76,52.08,40.96,"63,495"
173,瑞穂区役所,"14,478","119,994","57,812",48.18,"13,828","77,265","27,331","126,724","56,517","24,401",43.17,"1,217","12,382,087","6,763",698,"26,536",7.61,8.35,12.48,14.59,13.94,12.37,13.79,10.23,6.63,52.01,42.15,"60,119"
