駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
2510,布師田,130,773,371,47.99,85,488,184,"1,256",324,107,33,11,"134,246",56,3,83,6.87,10.3,9.25,11.36,13.74,14.27,17.97,9.78,6.47,27.27,63.64,917
2511,土佐一宮,620,"1,810",870,48.07,368,"1,165",247,"1,077",722,214,30,10,"70,632",75,4,13,15.1,10.56,11.51,17.46,13.76,11.34,9.88,5.73,4.66,30,60,470
2512,薊野,338,"4,672","2,216",47.43,637,"3,099",843,"3,534","2,178",932,43,32,"1,337,272",190,17,135,9.85,8.32,12.25,17.82,12.82,12.84,12.76,7.84,5.48,40.63,40.63,"1,829"
2513,高知,"10,210","5,979","2,617",43.77,630,"3,389","1,798","10,664","3,021","1,629",54,98,"1,315,132",601,48,946,7,7.94,9.63,12.09,11,12.81,15.7,12.39,11.45,48.98,43.88,"7,211"
2514,入明,918,"6,068","2,703",44.55,621,"3,611","1,714","9,362","2,949","1,418",48,103,"489,978",509,44,"3,058",6.49,8.88,10.14,11.1,12.19,13.49,15.6,11.5,10.61,53.4,41.75,"3,606"
2515,円行寺口,498,"6,109","2,740",44.85,684,"3,644","1,689","5,387","2,903","1,223",42,66,"262,232",334,31,"1,007",7,9.08,8.13,12.05,12.93,14.21,14.86,12.5,9.23,50,43.94,"1,731"
2516,旭,"1,376","5,832","2,473",42.4,604,"3,362","1,774","7,798","2,797","1,180",42,87,"778,474",357,28,"3,006",6.97,8.15,9.08,12.3,10.87,12.72,16.32,12.42,11.18,42.53,49.43,"2,289"
2517,高知商業前,970,"3,695","1,723",46.63,412,"2,296",925,"4,290","1,643",577,35,25,"259,222",144,11,"1,155",7.05,9.5,10.46,11.67,12.44,14.26,15.52,11.4,7.71,32,52,"1,614"
2518,朝倉,"1,834","3,522","1,724",48.95,369,"2,330",684,"5,179","1,831","1,058",58,44,"546,102",159,13,"2,624",7.3,13.48,21.4,12.62,9.02,8.96,12.09,9.31,5.82,45.45,40.91,"1,437"
2519,枝川,686,"2,186","1,043",47.71,291,"1,310",584,"2,048",865,188,22,25,"118,677",92,13,477,8.74,8.87,8.55,11.8,12.03,13.59,17.25,12.03,7.14,40,44,681
2520,伊野,986,"2,200",992,45.09,224,"1,137",839,"3,414",866,248,29,75,"426,138",243,18,302,6.54,6.86,6.9,10.45,9.72,12.49,16.44,14.12,16.49,41.33,52,"2,003"
2521,波川,334,759,386,50.86,113,458,188,565,276,60,22,6,"16,931",32,3,8,9.35,12.91,7.25,12.78,10.8,12.25,15.68,12.25,6.72,33.33,66.67,262
2522,小村神社前,160,388,178,45.88,55,230,103,317,165,53,32,1,0,16,2,0,7.75,11.37,9.3,10.85,12.92,12.66,17.31,12.14,5.68,0,100,97
2523,日下,302,471,215,45.65,50,239,183,804,169,38,22,18,"122,755",54,3,199,6.37,7.43,6.16,10.19,10.83,10.19,17.2,16.56,15.07,22.22,55.56,367
2524,岡花,106,315,144,45.71,26,182,107,223,125,29,23,5,"9,855",23,0,0,3.81,10.16,7.3,11.75,11.43,13.65,17.78,12.7,11.43,40,40,72
2525,土佐加茂,144,228,105,46.05,19,126,83,191,89,15,17,5,"3,785",12,0,23,5.68,7.86,6.55,7.42,9.61,15.72,17.9,16.16,13.1,40,60,51
2526,西佐川,600,828,386,46.62,122,517,189,440,329,83,25,8,"33,998",30,2,10,9.81,12.11,7.51,11.74,12.59,15.01,14.77,9.69,6.78,37.5,50,117
2527,佐川,798,986,456,46.25,142,560,284,"1,177",435,154,35,26,"312,950",91,7,194,9.04,10.36,9.95,12.08,10.86,11.78,14.21,11.17,10.56,53.85,38.46,605
2528,襟野々,170,279,137,49.1,32,150,97,187,110,23,21,1,0,8,0,0,6.76,7.83,7.12,7.12,10.68,16.37,16.73,16.01,11.39,0,100,55
2529,斗賀野,286,511,242,47.36,61,273,177,576,195,38,19,12,"39,835",36,2,177,7.23,8.98,6.05,7.81,12.7,13.87,15.43,16.02,11.91,33.33,41.67,181
2530,吾桑,98,317,155,48.9,31,172,114,342,123,27,22,7,"9,345",19,0,42,4.39,8.78,5.02,8.78,9.72,15.99,19.44,15.67,12.23,28.57,42.86,139
2531,多ノ郷,462,"1,389",729,52.48,181,916,285,"1,552",648,294,45,39,"453,906",127,15,9,9.24,7.87,14.73,15.6,11.19,13.36,13,7.29,7.73,46.15,43.59,977
2532,大間,460,"1,671",803,48.06,222,979,465,"2,150",695,255,37,48,"469,561",160,12,212,8.53,8.89,10.27,13.39,12.13,11.65,14.23,11.35,9.55,47.92,41.67,"1,305"
2533,須崎,910,"1,324",600,45.32,119,676,534,"1,646",592,206,35,51,"192,303",206,18,0,4.96,7.14,5.26,9.92,9.17,13.46,19.92,16.69,13.46,62.75,33.33,991
2534,土佐新荘,186,861,398,46.23,113,466,281,"1,000",361,122,34,21,"184,731",64,9,87,8.25,8.83,8.48,10.34,9.64,12.66,17.42,12.66,11.73,47.62,47.62,485
2535,安和,38,213,94,44.13,23,104,86,198,79,20,25,8,"57,954",18,4,11,7.55,6.13,6.6,8.49,7.08,13.68,22.17,14.15,14.15,62.5,37.5,79
2536,土佐久礼,416,"1,734",821,47.35,181,921,628,"2,110",715,178,25,67,"246,152",192,17,285,6.01,8.15,5.26,10.05,10.34,13.4,19.58,16.06,11.15,25.37,67.16,999
2537,影野,48,195,72,36.92,11,67,114,265,60,15,25,5,"25,912",12,1,43,3.63,5.18,4.66,4.66,7.25,10.36,9.33,17.1,37.82,0,60,88
2538,六反地,8,103,51,49.51,15,53,35,120,35,7,20,3,"2,154",9,1,0,8.57,11.43,8.57,7.62,7.62,13.33,18.1,10.48,14.29,0,100,75
2539,仁井田,36,271,119,43.91,36,128,109,322,111,29,26,7,"7,350",26,0,42,8.39,6.57,5.11,11.31,6.57,15.69,12.04,16.42,17.88,42.86,42.86,151
2540,窪川,962,"1,548",696,44.96,199,809,538,"2,684",678,249,37,93,"687,295",271,23,408,8.27,7.49,7.43,11.82,9.56,12.21,15.5,13.44,14.28,54.84,35.48,"1,610"
2541,けやき台,"2,729","2,718","1,277",46.98,400,"2,009",306,"1,407",898,79,9,9,"35,995",28,1,415,7.89,14.23,12.57,8.81,13.75,23.3,11.98,5.27,2.21,33.33,55.56,253
2542,基山,"6,941","2,901","1,396",48.12,426,"1,839",616,"2,593","1,112",330,30,45,"341,981",151,6,444,9.95,9.68,12.49,13.98,10.54,13.6,14.5,8.57,6.69,40,55.56,932
2543,弥生が丘,"1,243","1,582",730,46.14,412,"1,010",152,"1,062",528,101,19,10,"281,181",55,4,0,21.45,8.12,9.52,25.51,12.06,8.57,7.36,4.7,2.73,40,50,668
2544,田代,712,"2,690","1,292",48.03,366,"1,685",621,"1,888","1,034",292,28,16,"39,385",106,3,96,8.83,10.22,11.86,12.99,11.64,13.36,14.07,10.22,6.81,31.25,50,817
2545,鳥栖,"13,364","3,276","1,540",47.01,548,"2,162",528,"3,689","1,332",431,32,101,"783,427",365,20,2,11.74,10.72,11.06,16.16,14.71,13.38,10.69,6.98,4.54,58.42,38.61,"2,774"
2546,肥前旭,"1,221","3,003","1,423",47.39,715,"1,894",374,"1,288","1,018",180,18,15,"101,496",48,0,222,17.2,11.26,9.55,20.62,13.07,9.39,10.53,5.87,2.51,26.67,60,317
2547,浜崎,"1,174","1,609",736,45.74,241,940,429,"1,742",565,123,22,33,"204,525",131,9,234,8.88,10.87,9.69,10.87,11.24,14.72,13.66,11.8,8.26,36.36,51.52,860
2548,虹ノ松原,295,803,381,47.45,105,490,204,585,252,39,15,11,"139,988",25,3,0,9.26,8.01,8.39,11.76,11.39,15.64,15.89,11.01,8.64,45.45,45.45,263
2549,東唐津,"1,726",689,308,44.7,111,475,99,704,323,135,42,3,0,17,1,84,12.76,6.6,18.77,21.99,11,8.8,10.26,6.74,3.08,33.33,33.33,356
2550,和多田,705,"3,453","1,609",46.6,603,"2,158",680,"3,278","1,379",418,30,36,"321,325",159,10,713,11.04,11.54,10.4,14.53,12.35,13.57,12.18,9.56,4.82,47.22,47.22,"1,241"
2551,唐津,"4,260","3,797","1,716",45.19,501,"2,269","1,020","5,029","1,649",613,37,185,"879,087",674,52,81,8.84,8.28,9.08,13.46,12.64,13.11,14.25,12.37,7.97,56.76,40,"3,435"
2552,鬼塚,241,217,104,47.93,38,143,35,363,82,21,26,2,"22,070",18,0,0,11.11,9.26,12.5,13.89,13.43,15.28,12.5,6.94,5.09,50,0,298
2553,山本,684,"1,280",594,46.41,201,756,319,"1,252",424,79,19,16,"263,518",44,1,304,9.23,11.5,8.69,10.64,13.07,14.95,13.46,10.49,7.98,31.25,50,426
2554,肥前久保,33,244,109,44.67,31,143,73,198,78,15,19,5,"21,476",9,0,0,9.31,6.88,8.91,10.93,6.88,17.81,16.6,11.74,10.93,40,40,60
2555,西相知,26,163,74,45.4,21,93,46,112,52,7,13,2,"4,120",6,0,0,9.38,8.75,8.13,9.38,11.88,18.75,10,13.75,10,50,50,29
2556,佐里,22,210,99,47.14,20,111,67,143,46,5,11,1,0,6,0,0,7.11,8.12,10.66,7.61,9.64,16.75,12.18,14.72,13.2,0,100,46
2557,駒鳴,30,99,45,45.45,3,55,41,62,26,2,8,0,0,0,0,0,2.06,5.15,12.37,3.09,9.28,24.74,4.12,22.68,16.49,0,0,3
2558,大川野,121,398,189,47.49,62,218,118,368,142,40,28,7,"32,908",28,1,0,8.82,11.34,6.55,10.33,8.31,16.12,15.37,11.08,12.09,42.86,57.14,143
2559,肥前長野,43,161,74,45.96,24,90,48,204,41,5,12,2,0,13,2,18,10.37,5.49,9.76,12.2,9.15,14.02,14.63,9.15,15.24,0,50,105
2560,桃川,146,472,219,46.4,62,275,134,483,164,48,29,7,"14,488",24,1,94,9.15,8.72,10.21,9.36,11.28,16.6,12.98,11.91,9.79,28.57,42.86,177
2561,金石原,54,161,77,47.83,18,88,46,113,54,8,15,3,"14,460",7,0,0,8.55,7.24,8.55,11.84,8.55,15.13,18.42,11.18,10.53,100,0,30
2562,上伊万里,13,946,444,46.93,148,565,232,688,347,97,28,14,"154,303",44,1,11,10.91,8.37,11.33,13.56,9.75,13.98,12.08,9.75,10.28,42.86,35.71,319
2563,伊万里,513,"2,755","1,269",46.06,371,"1,686",689,"4,122","1,191",450,38,129,"595,949",545,49,0,9.25,8.23,10.52,14.89,11.8,12.49,13.36,10.71,8.74,60.47,31.78,"3,165"
2564,鳥栖,"13,364","3,276","1,540",47.01,548,"2,162",528,"3,689","1,332",431,32,101,"783,427",365,20,2,11.74,10.72,11.06,16.16,14.71,13.38,10.69,6.98,4.54,58.42,38.61,"2,774"
2565,肥前麓,"1,297","1,275",619,48.55,178,798,288,874,454,139,31,2,0,26,2,86,8.16,11.97,9.9,13.15,11.73,13.71,14.82,9.67,6.89,50,0,315
2566,中原,"1,987","1,089",502,46.1,127,631,334,"1,813",388,73,19,22,"214,602",71,2,737,7.05,9.52,8.06,10.53,10.71,13.1,18.68,13.74,8.61,36.36,54.55,625
2567,吉野ケ里公園,"2,398","1,288",601,46.66,199,777,309,"1,639",487,123,25,25,"268,955",78,11,432,10.12,9.26,9.18,14.09,11.91,14.4,12.68,11.28,7.08,60,24,667
2568,神埼,"3,073","1,397",658,47.1,248,836,300,"1,761",515,152,30,26,"134,783",104,6,131,11.99,11.27,10.77,15.1,10.33,12.43,12.28,9.1,6.72,46.15,46.15,"1,127"
2569,伊賀屋,497,312,149,47.76,24,199,89,208,96,12,13,1,0,7,1,0,3.23,10.65,10.97,7.74,11.29,19.68,12.9,14.84,8.71,0,0,73
2570,佐賀,"23,394","3,985","1,876",47.08,506,"2,672",627,"13,303","2,064","1,074",52,143,"1,051,772",778,60,"1,186",8.71,9.6,11.91,14.65,16.36,15.62,10.92,7.26,4.97,52.45,45.45,"11,040"
2571,鍋島,"1,151","2,290","1,106",48.3,383,"1,559",342,"1,913",826,174,21,20,"165,005",130,4,0,10.99,11.73,12.35,14.36,12.7,15.67,11.38,7.01,3.81,50,25,"1,165"
2572,久保田,990,683,330,48.32,106,425,149,690,252,60,24,8,"11,373",28,0,0,11.93,8.1,13.7,16.35,8.84,12.08,13.55,9.28,6.19,50,25,423
2573,牛津,"1,676","1,321",636,48.15,175,782,363,"2,152",476,90,19,48,"272,394",166,4,324,8.93,8.33,9.24,12.19,10.07,13.25,17.64,12.34,8.02,47.92,50,"1,281"
2574,肥前山口,"2,427","1,125",524,46.58,162,699,259,"1,640",423,124,29,26,"362,582",113,6,328,9.29,9.55,11.96,15.09,12.14,12.14,10.63,9.11,10.09,42.31,38.46,868
2575,肥前白石,"1,221","1,211",554,45.75,168,688,357,"2,062",338,53,16,30,"169,880",101,5,771,8.15,9.8,6.84,9.72,13.01,14.66,15.32,13.84,8.65,50,40,735
2576,肥前竜王,291,394,172,43.65,69,228,96,743,126,20,16,6,"5,236",32,1,224,10.86,10.86,6.82,13.13,12.37,13.89,14.14,12.12,5.81,50,33.33,361
2577,肥前鹿島,"2,326","1,536",677,44.08,190,896,447,"2,406",555,148,27,83,"472,247",294,19,8,7.83,10.24,8.74,11.09,11.22,13.96,13.44,12.13,11.35,60.24,30.12,"1,842"
2578,肥前浜,360,"1,161",546,47.03,149,629,383,"1,536",395,82,21,24,"73,609",91,3,255,7.24,10.17,7.93,7.84,12.67,12.59,16.21,14.57,10.78,33.33,62.5,740
2579,肥前七浦,96,353,170,48.16,47,204,104,285,111,27,24,6,"8,464",25,3,0,5.32,13.45,7,8.96,9.52,15.41,17.93,10.64,11.76,16.67,83.33,102
2580,肥前飯田,116,461,217,47.07,58,253,149,277,136,17,13,4,"6,958",6,2,0,8.7,8.26,8.04,8.91,9.35,16.3,12.83,14.57,13.04,0,50,22
2581,多良,585,960,420,43.75,136,491,334,"1,568",294,54,18,23,"188,586",89,3,364,8.84,10.82,5.83,9.89,11.34,12.28,11.76,13.74,15.5,34.78,56.52,725
2582,肥前大浦,369,374,171,45.72,52,199,123,505,128,22,17,8,"29,809",28,2,211,7.53,11.83,5.38,9.14,10.75,15.05,15.32,15.05,9.95,50,37.5,132
2583,久保田,990,683,330,48.32,106,425,149,690,252,60,24,8,"11,373",28,0,0,11.93,8.1,13.7,16.35,8.84,12.08,13.55,9.28,6.19,50,25,423
2584,小城,"2,055","1,401",662,47.25,241,829,331,"1,105",486,103,21,30,"180,721",79,5,0,10.86,10.71,9,14,11.43,13.14,12.79,10.14,7.93,40,53.33,627
2585,東多久,367,"1,166",545,46.74,172,668,328,"1,127",386,82,21,15,"48,620",76,4,0,8.4,12.25,9.08,10.11,12,12.77,13.28,11.57,10.54,26.67,66.67,660
2586,中多久,951,"1,966",856,43.54,263,"1,095",609,"1,808",684,189,28,16,"64,657",74,4,261,8.65,8.85,7.83,11.65,9.61,14.34,14.5,11.65,12.92,43.75,50,616
2587,多久,686,"1,768",797,45.08,330,"1,072",366,"1,453",635,133,21,42,"181,835",154,12,52,12.15,11.47,9.66,15.14,9.83,13.67,11.69,8.81,7.57,52.38,45.24,786
2588,厳木,922,273,140,51.28,32,164,77,706,87,18,21,5,"5,820",15,0,469,5.13,14.65,8.79,10.26,12.45,12.09,16.85,13.19,6.59,80,40,137
2589,岩屋,253,747,340,45.52,79,386,295,696,264,80,30,5,"1,947",32,0,39,6.45,8.55,5.53,7.89,9.21,13.55,17.11,13.29,18.42,40,60,233
2590,相知,474,607,258,42.5,91,326,190,509,229,66,29,12,"69,771",46,2,0,9.7,9.21,10.36,10.86,10.53,11.51,14.31,14.8,8.72,58.33,33.33,257
2591,本牟田部,65,208,97,46.63,26,121,63,347,61,8,13,0,0,12,2,0,8.13,9.09,9.57,7.66,8.61,18.18,18.18,9.57,11,0,0,244
2592,山本,684,"1,280",594,46.41,201,756,319,"1,252",424,79,19,16,"263,518",44,1,304,9.23,11.5,8.69,10.64,13.07,14.95,13.46,10.49,7.98,31.25,50,426
2593,鬼塚,241,217,104,47.93,38,143,35,363,82,21,26,2,"22,070",18,0,0,11.11,9.26,12.5,13.89,13.43,15.28,12.5,6.94,5.09,50,0,298
2594,唐津,"4,260","3,797","1,716",45.19,501,"2,269","1,020","5,029","1,649",613,37,185,"879,087",674,52,81,8.84,8.28,9.08,13.46,12.64,13.11,14.25,12.37,7.97,56.76,40,"3,435"
2595,西唐津,997,"2,461","1,115",45.31,416,"1,462",576,"3,167","1,064",390,37,34,"315,544",109,3,338,11.53,10.35,9.74,13.12,11.49,12.71,13.85,10.22,7.01,29.41,50,"1,835"
2596,肥前山口,"2,427","1,125",524,46.58,162,699,259,"1,640",423,124,29,26,"362,582",113,6,328,9.29,9.55,11.96,15.09,12.14,12.14,10.63,9.11,10.09,42.31,38.46,868
2597,大町,651,"1,055",461,43.7,84,562,409,"1,618",404,120,30,35,"92,864",106,4,0,5.69,6.35,6.54,8.82,9.38,14.79,16.3,14.31,17.82,42.86,45.71,"1,059"
2598,北方,214,433,190,43.88,59,254,120,453,163,45,28,6,"35,127",23,1,0,7.85,10.85,7.85,11.78,11.32,13.86,13.86,12.93,9.7,33.33,33.33,266
2599,高橋,312,557,263,47.22,81,327,148,647,198,41,21,16,"115,093",59,3,2,9.69,9.52,9.34,10.59,10.59,15.98,14.36,12.21,7.72,43.75,43.75,432
2600,武雄温泉,"3,257","2,449","1,148",46.88,334,"1,542",557,"3,349","1,016",378,37,76,"719,025",341,29,129,9.29,10.02,9.78,13.52,12.65,14.91,12.33,10.27,7.23,48.68,40.79,"2,362"
2601,永尾,67,221,105,47.51,34,133,54,99,66,13,20,0,0,7,0,0,10.5,8.22,12.33,9.13,11.87,17.35,9.13,14.61,6.85,0,0,20
2602,三間坂,332,820,382,46.59,113,462,246,639,265,67,25,9,"39,793",52,2,40,9.62,8.89,9.5,13.15,9.14,11.33,15.1,10.72,12.55,55.56,44.44,288
2603,上有田,107,990,441,44.55,114,573,303,734,393,108,27,24,"68,072",89,2,0,7.15,10.17,6.24,8.56,11.98,16.62,14.7,14.8,9.77,83.33,16.67,316
2604,有田,817,"1,234",569,46.11,167,698,369,"1,809",459,123,27,66,"384,852",186,10,303,8.67,8.83,6.97,11.18,12.16,14.67,14.83,13.45,9.24,62.12,31.82,"1,059"
2605,基山,729,"2,901","1,396",48.12,426,"1,839",616,"2,593","1,112",330,30,45,"341,981",151,6,444,9.95,9.68,12.49,13.98,10.54,13.6,14.5,8.57,6.69,40,55.56,932
2606,立野,59,462,206,44.59,32,162,64,"1,588",95,35,37,9,"113,045",39,0,60,7.36,9.3,15.12,10.08,10.85,14.34,12.79,10.08,10.08,0,66.67,"1,274"
2607,有田,718,"1,234",569,46.11,167,698,369,"1,809",459,123,27,66,"384,852",186,10,303,8.67,8.83,6.97,11.18,12.16,14.67,14.83,13.45,9.24,62.12,31.82,"1,059"
2608,三代橋,118,"1,009",464,45.99,155,576,279,"1,026",349,60,17,24,"205,047",80,7,0,10.41,9.42,7.93,11.3,10.31,15.06,15.56,11.3,8.72,58.33,25,610
2609,黒川,73,644,304,47.2,130,384,134,892,215,44,20,6,"15,989",42,1,299,13.45,9.27,8.04,15.3,11.75,12.83,13.45,8.81,7.11,33.33,50,358
2610,蔵宿,61,598,281,46.99,88,347,182,327,184,35,19,9,"33,127",25,1,0,9.42,9.9,8.44,10.06,13.31,12.66,14.45,11.53,10.23,55.56,11.11,119
2611,西有田,154,"1,006",466,46.32,176,543,288,"1,286",294,54,18,10,"61,966",50,3,247,12.1,9.52,8.73,11.51,11.61,11.31,13,10.91,11.31,30,30,647
2612,大木,73,463,228,49.24,71,271,121,605,128,18,14,10,"41,789",29,3,251,8.8,12.23,8.58,8.8,9.66,17.81,12.66,12.02,9.44,20,60,162
2613,山谷,59,616,310,50.32,95,360,161,365,181,32,18,7,"6,958",23,0,3,10.08,9.92,7.32,10.89,12.2,15.45,14.63,12.2,7.32,57.14,42.86,107
2614,夫婦石,70,278,132,47.48,34,172,72,200,80,11,14,2,274,13,2,0,6.81,12.9,8.6,9.68,9.68,19,11.11,12.9,9.32,0,50,73
2615,金武,28,410,191,46.59,59,255,96,298,135,29,21,8,"55,565",22,1,0,10.24,9.02,10.49,12.44,12.93,15.37,11.95,10,7.56,0,50,163
2616,川東,316,"1,107",537,48.51,156,653,298,"1,037",414,99,24,17,"150,564",73,3,102,9.76,9.49,8.58,11.38,10.39,15.45,14.81,11.83,8.31,29.41,47.06,455
2617,伊万里,"1,105","2,755","1,269",46.06,371,"1,686",689,"4,122","1,191",450,38,129,"595,949",545,49,0,9.25,8.23,10.52,14.89,11.8,12.49,13.36,10.71,8.74,60.47,31.78,"3,165"
2618,東山代,46,579,294,50.78,87,346,146,"1,430",195,36,18,9,"72,499",39,2,0,10.73,7.44,10.21,13.84,8.48,16.26,14.71,9.69,8.65,33.33,22.22,"1,209"
2619,里,76,757,360,47.56,89,439,228,880,273,55,20,5,"11,162",38,1,293,7.54,8.2,8.73,11.51,9.39,15.48,16.67,14.29,8.2,20,60,271
2620,楠久,107,998,495,49.6,150,591,257,927,379,88,23,15,"113,650",57,3,0,9.81,9.01,8.71,12.41,9.61,15.12,16.82,10.31,8.21,33.33,60,522
2621,鳴石,94,526,226,42.97,46,214,267,861,138,40,29,4,216,28,1,0,4.94,6.84,6.08,6.46,6.46,9.51,15.02,13.88,30.8,0,100,521
2622,久原,88,614,284,46.25,82,335,199,913,236,64,27,5,"9,631",42,3,150,8.75,7.94,6.16,10.05,9.4,16.53,16.37,12.64,12.16,40,60,492
2623,波瀬,17,198,95,47.98,19,103,76,310,76,23,30,3,0,8,0,0,6.06,9.6,7.58,7.07,5.56,21.21,13.13,20.2,9.6,0,100,207
2624,浦ノ崎,95,462,211,45.67,50,252,165,441,189,70,37,6,"28,815",19,0,0,6.67,7.31,7.53,8.82,8.6,14.62,16.56,15.27,14.62,16.67,50,188
2625,福島口,90,457,213,46.61,49,250,171,427,176,56,32,6,"17,405",21,0,0,6.62,6.2,7.48,7.69,9.19,16.03,15.6,14.74,16.45,33.33,66.67,188
2626,八潮,"36,000","3,543","1,851",52.24,472,"2,548",501,"3,399","1,639",692,42,30,"574,328",208,13,398,10.87,5.79,14.67,28.97,12.83,7.97,9.45,5.96,3.49,56.67,36.67,"2,480"
2627,三郷中央,"23,500","3,486","1,826",52.38,428,"2,418",634,"2,182","1,555",547,35,18,"335,037",149,7,82,8.97,6.1,13.66,25.59,12.31,8.54,14.46,8.19,2.19,22.22,61.11,"1,418"
2628,川口,"160,820","18,539","9,123",49.21,"2,308","13,657","2,540","16,132","8,830","3,456",39,221,"4,003,550","1,043",121,317,8.81,7.28,12.55,20.22,17.71,12.85,11.76,6.08,2.73,60.18,36.65,"10,846"
2629,西川口,"106,138","15,277","8,208",53.73,"1,273","11,373","2,535","12,008","8,730","5,058",58,186,"1,561,789","1,212",154,181,5.76,5.91,17.72,18.5,15.83,12.59,12.29,8.02,3.37,52.15,45.7,"7,714"
2630,蕨,"117,578","13,566","7,051",51.98,"1,188","9,748","2,530","13,458","7,198","3,652",51,235,"1,897,748","1,184",128,147,6.1,6.3,16.08,18.18,14.65,12.41,13.21,8.7,4.37,59.15,39.15,"9,355"
2631,南浦和,"114,998","11,035","5,573",50.5,"1,378","7,985","1,589","11,034","5,367","2,397",45,124,"1,716,109",778,60,"1,012",8.33,8.67,13.53,18.63,18.09,12.47,9.82,6.74,3.72,53.23,44.35,"6,999"
2632,浦和,"168,460","10,741","5,233",48.72,"1,294","7,531","1,820","22,840","5,282","2,412",46,252,"6,228,608","1,318",148,"1,563",7.86,8.29,11.99,18.7,18.06,11.88,10.93,7.4,4.88,62.7,34.92,"18,186"
2633,北浦和,"101,454","12,770","6,248",48.93,"1,646","8,978","2,051","15,174","6,035","2,648",44,211,"2,415,911","1,016",104,616,7.86,10.26,12.88,15.73,17.76,13.16,11.1,6.69,4.55,54.03,43.13,"10,732"
2634,与野,"49,712","11,751","5,784",49.22,"1,559","8,154","1,976","9,311","5,314","1,997",38,104,"886,325",496,40,493,9.12,8.38,12,17.39,16.37,12.9,12.12,7.4,4.3,48.08,47.12,"5,097"
2635,さいたま新都心,"84,270","4,416","2,152",48.73,553,"3,033",786,"18,660","1,998",751,38,125,"2,253,547",458,50,"1,129",8.88,7.94,11.78,18.15,15.42,12.86,13.23,7.32,4.42,66.4,28,"16,220"
2636,大宮,"490,958","4,125","2,035",49.33,323,"2,775",805,"39,728","2,245","1,183",53,589,"19,125,215","2,204",232,"2,812",6.1,5.79,13.55,18.17,14.71,13.81,13.37,9.12,5.38,69.27,29.71,"35,872"
