駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
2496,土佐岩原,12,97,49,50.52,4,52,49,88,47,20,43,3,0,5,1,0,0.93,6.54,5.61,5.61,6.54,17.76,14.02,22.43,20.56,66.67,33.33,25
2497,豊永,24,178,70,39.33,8,90,79,347,94,38,40,10,"16,280",35,1,28,2.27,6.82,9.09,5.68,7.95,12.5,18.75,19.89,17.05,60,30,212
2498,大田口,16,147,64,43.54,13,70,65,303,76,32,42,6,"9,638",17,1,59,6,6,6,6.67,8,14.67,16.67,20.67,15.33,50,50,164
2499,土佐穴内,6,79,35,44.3,6,36,42,73,41,17,41,2,0,6,0,0,4.82,2.41,4.82,7.23,8.43,13.25,20.48,18.07,20.48,50,50,15
2500,大杉,150,224,83,37.05,12,64,146,356,64,20,31,7,"10,656",26,2,33,4.05,2.25,3.15,4.95,4.95,9.46,11.71,19.82,39.64,71.43,28.57,158
2501,土佐北川,8,7,3,42.86,0,2,5,12,4,2,50,0,0,2,2,0,0,0,0,11.11,0,11.11,22.22,33.33,22.22,0,0,4
2502,角茂谷,4,92,45,48.91,3,37,50,78,48,17,35,1,0,5,0,0,3.26,3.26,1.09,5.43,7.61,15.22,16.3,28.26,19.57,0,100,12
2503,繁藤,18,61,28,45.9,6,35,28,60,27,11,41,2,0,6,1,0,4.35,10.14,4.35,5.8,11.59,18.84,13.04,20.29,11.59,50,50,32
2505,土佐山田,"1,950","3,466","1,767",50.98,421,"2,171",857,"3,499","1,703",795,47,88,"324,740",290,23,666,8.33,10.36,14.27,12.91,9.11,12.53,13.75,10.5,8.24,54.55,38.64,"1,520"
2506,山田西町,516,"2,550","1,207",47.33,300,"1,448",793,"2,248","1,077",407,38,44,"368,219",163,13,45,8.07,8.19,10.04,13.46,9.68,11.06,15.03,11.22,13.26,45.45,45.45,"1,090"
2507,土佐長岡,102,474,221,46.62,61,289,122,359,174,35,20,4,"9,407",21,1,0,7.89,10.45,6.82,10.87,13.22,16.42,14.71,10.66,8.96,50,25,132
2508,後免,"3,896","3,132","1,476",47.13,354,"2,009",733,"3,018","1,595",794,50,74,"699,581",244,20,16,8.24,8.14,14.73,15.22,10.44,11.6,14.02,9.89,7.72,47.3,45.95,"1,688"
2509,土佐大津,914,"1,117",525,47,179,707,212,"1,314",463,132,29,13,"116,414",54,6,318,11.75,9.74,9.84,18.67,11.57,11.66,13.84,8.11,4.83,30.77,30.77,649
