駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8848,比羅夫,4,27,14,51.85,3,17,11,20,10,3,30,0,0,1,0,0,6.25,9.38,0,15.63,6.25,18.75,18.75,9.38,15.63,0,0,3
8849,倶知安,"1,084","1,464",711,48.57,204,913,347,"1,957",687,279,41,50,"500,255",171,15,207,9.98,7.18,8.82,14.56,13.19,14.49,13.19,11.28,7.31,56,38,"1,150"
8850,小沢,34,196,87,44.39,12,95,92,164,104,47,45,3,0,15,0,0,3.03,4.04,5.05,6.06,12.12,15.66,18.69,16.67,18.69,0,100,45
8851,銀山,70,85,48,56.47,25,123,27,74,20,7,35,1,"1,102",3,0,0,6.21,10.17,5.65,13.56,12.43,23.73,19.21,7.34,1.69,0,100,26
8852,然別,26,113,52,46.02,10,50,54,75,54,17,31,1,0,2,0,0,6.9,6.9,6.03,11.21,9.48,9.48,12.93,23.28,13.79,0,100,7
8853,仁木,160,686,293,42.71,79,374,231,647,313,106,34,10,"14,140",43,0,92,8.03,7.01,7.01,12.99,9.78,11.39,18.39,15.77,9.64,30,60,229
8854,余市,"1,370","2,084",926,44.43,237,"1,194",654,"2,816",952,325,34,58,"1,188,034",225,17,56,7.44,8.35,7.06,11.52,10.85,13.63,16.99,14.69,9.46,48.28,41.38,"1,790"
8855,蘭島,56,588,260,44.22,40,290,260,491,281,89,32,1,656,23,0,0,4.75,4.24,3.9,9.85,6.62,15.11,22.58,18.51,14.43,0,0,125
8856,塩谷,78,511,242,47.36,38,282,190,446,216,54,25,1,0,12,0,62,4.71,6.86,6.47,8.82,6.86,15.29,21.18,17.06,12.75,0,100,68
8857,小樽,"17,576","4,960","2,106",42.46,429,"2,817","1,714","9,171","2,538","1,231",49,264,"1,955,035","1,067",126,369,5.6,6.65,9.09,10.9,10.66,13.38,17.25,13.91,12.56,54.55,42.42,"6,612"
8858,南小樽,"3,556","4,530","1,949",43.02,368,"2,694","1,468","6,508","2,293",988,43,130,"1,193,487",472,30,827,5.32,6.51,8.85,11.1,10.7,14.78,18.67,13.9,10.17,33.85,54.62,"3,690"
8859,小樽築港,"5,056","2,560","1,135",44.34,261,"1,485",815,"2,040","1,215",468,39,46,"349,466",139,10,115,7.03,7.18,8.67,11.94,11.79,11.83,17.92,13.86,9.8,67.39,21.74,982
