index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
250,
251,上横須賀,"1,205","11,000","5,440",49.45,"1,578","6,933","2,486","9,528","3,410",620,18.18,101,"574,853",458,19,"1,116",9.44,10,10.71,13.88,12.66,12.71,14.11,9.93,6.57,48.51,33.66,"4,367"
252,
253,吉良吉田,"2,558","9,868","4,944",50.1,"1,532","6,098","2,239","8,168","2,976",408,13.71,119,"943,970",500,29,"1,423",10.24,10.26,9.36,14.15,12.45,12.87,14.36,10.1,6.21,47.9,41.18,"3,257"
254,吉良吉田,"2,558","9,868","4,944",50.1,"1,532","6,098","2,239","8,168","2,976",408,13.71,119,"943,970",500,29,"1,423",10.24,10.26,9.36,14.15,12.45,12.87,14.36,10.1,6.21,47.9,41.18,"3,257"
255,三河鳥羽,312,"7,137","3,468",48.59,900,"4,319","1,912","5,554","2,196",308,14.03,78,"362,868",368,13,571,7.81,9.62,9,12.31,11.93,13.31,16.22,11.72,8.06,37.18,41.03,"2,354"
256,西幡豆,652,"8,166","4,002",49.01,"1,125","5,018","2,024","5,917","2,523",340,13.48,84,"417,813",393,7,849,8.57,10.26,9.28,12.52,12.5,13.12,15.85,11.08,6.82,39.29,42.86,"2,247"
257,東幡豆,432,"5,714","2,790",48.83,782,"3,576","1,355","4,320","1,718",220,12.81,51,"197,625",299,11,664,8.45,10.27,9.73,11.85,13.02,14.25,15.14,10.76,6.51,45.1,41.18,"1,781"
258,こどもの国,147,"11,021","5,352",48.56,"1,242","6,716","3,059","7,837","3,530",510,14.45,105,"400,722",600,21,726,7,9.19,9.86,10.81,12.07,14.22,17,12.44,7.4,47.62,42.86,"3,201"
259,西浦,987,"16,336","7,943",48.62,"1,985","9,870","4,465","11,881","5,313",812,15.28,179,"904,799",820,30,"1,556",7.37,9.77,9.69,10.92,12.62,13.62,16.24,12.48,7.28,45.81,44.13,"4,568"
260,形原,889,"20,390","9,920",48.65,"2,752","12,364","5,245","15,095","6,639","1,052",15.85,201,"1,727,395",944,38,"1,993",8.5,10.06,9.59,12.36,12.65,12.73,15.58,11.55,6.98,44.78,44.28,"6,067"
261,三河鹿島,465,"19,543","9,595",49.1,"2,892","12,008","4,607","18,239","6,518","1,303",19.99,167,"1,937,329",911,48,"2,213",9.46,10.58,10.04,13.67,13.2,11.61,14.52,10.48,6.43,37.13,43.71,"9,579"
262,蒲郡競艇場前,286,"17,751","8,937",50.35,"2,347","11,249","4,001","20,271","6,610","1,964",29.71,194,"2,716,365","1,049",70,"2,614",8.83,9.88,12.21,14.17,13.24,11.46,14.19,10.31,5.72,38.14,38.66,"12,074"
263,蒲郡,"2,680","30,813","15,199",49.33,"4,127","19,239","7,275","32,299","11,471","3,098",27.01,458,"4,672,927","2,175",159,"3,666",8.84,9.52,11.2,13.77,13.44,11.82,14.41,10.88,6.11,47.38,40.61,"18,617"
264,吉良吉田,"2,558","9,868","4,944",50.1,"1,532","6,098","2,239","8,168","2,976",408,13.71,119,"943,970",500,29,"1,423",10.24,10.26,9.36,14.15,12.45,12.87,14.36,10.1,6.21,47.9,41.18,"3,257"
265,
266,
267,
268,
269,
270,
271,中畑,119,"25,131","12,808",50.96,"3,969","16,429","4,686","18,843","8,406","1,854",22.06,149,"1,154,120","1,066",45,"2,718",10.04,11.6,12,14.99,13.88,12.04,12.08,8.32,5.06,36.24,44.97,"8,350"
272,
273,
274,
275,碧南,"3,500","29,961","15,488",51.69,"4,373","19,319","6,216","29,958","10,817","3,221",29.78,325,"3,159,966","1,696",104,"3,599",9.61,10.12,13.14,14.17,13.53,12.16,12.13,9.52,5.62,40.62,44.92,"16,579"
276,碧南中央,"4,000","39,113","19,684",50.33,"5,850","24,936","8,266","38,807","13,808","3,514",25.45,471,"4,567,394","2,260",142,"5,192",9.9,10.07,12.09,14.31,13.3,12.4,12.6,9.55,5.78,41.19,45.65,"21,194"
277,新川町,"1,100","37,898","19,190",50.64,"5,798","24,282","7,745","37,354","13,444","3,391",25.22,407,"4,229,780","2,124",133,"4,429",10.28,10,12.21,14.77,13.45,12.23,12.36,9.24,5.45,42.01,43,"21,160"
278,北新川,"2,800","37,208","18,785",50.49,"5,913","23,760","7,453","33,217","12,991","3,113",23.96,336,"3,661,042","1,808",84,"4,448",10.7,10.34,12.06,15.13,13.56,11.75,12.01,8.93,5.52,41.96,41.37,"17,209"
279,高浜港,"1,724","37,726","19,268",51.07,"6,248","24,294","7,092","32,445","13,500","3,390",25.11,298,"2,974,250","1,516",73,"5,215",11.17,10.59,11.83,15.59,14.54,11.13,11.53,8.71,4.9,37.92,43.96,"15,333"
280,三河高浜,"3,294","38,116","19,515",51.2,"6,538","24,629","6,805","32,489","13,695","3,632",26.52,298,"3,352,941","1,440",77,"4,942",11.5,10.98,12.24,15.85,14.64,10.83,10.91,8.26,4.79,40.27,44.3,"15,849"
281,吉浜,"2,322","32,985","17,032",51.64,"5,667","21,817","5,346","27,299","12,353","3,693",29.9,224,"2,725,131","1,189",78,"2,380",11.6,10.83,13.87,16.69,14.14,10.56,10.72,7.42,4.16,42.41,42.41,"15,138"
282,小垣江,"2,505","23,413","12,143",51.86,"3,683","15,588","4,022","18,568","8,982","2,979",33.17,103,"1,307,643",720,34,"1,550",10.99,9.25,15,17.68,12.11,10.81,12.23,7.19,4.74,38.83,39.81,"9,726"
283,刈谷市,"4,751","39,048","20,025",51.28,"5,882","26,037","6,854","53,857","15,826","5,347",33.79,441,"5,762,910","2,139",188,"6,576",10.41,9.1,13.98,17.18,13.83,11.18,11.92,7.88,4.51,52.38,38.1,"34,499"
284,刈谷,"21,778","51,732","26,507",51.24,"7,931","34,669","8,802","77,416","20,715","6,916",33.39,537,"7,872,744","2,659",245,"6,512",10.43,9.69,13.64,17.05,14.59,10.99,11.65,7.67,4.3,50.09,38.92,"54,241"
285,重原,"1,230","49,795","25,934",52.08,"7,897","33,981","7,593","69,255","20,235","7,130",35.24,401,"6,272,492","2,210",211,"5,465",10.72,10.04,14.09,17.92,15.01,10.71,10.81,6.92,3.76,47.13,38.4,"48,478"
286,知立,"30,628","51,611","27,280",52.86,"8,096","34,865","8,388","50,603","21,159","7,547",35.67,491,"6,589,284","2,107",172,"7,818",10.71,9.85,13.83,17.68,14.82,10.37,11.61,7.49,3.64,53.77,33.4,"27,078"
287,三河知立,718,"52,808","27,666",52.39,"8,280","35,469","8,798","49,887","21,398","7,385",34.51,485,"6,409,936","2,081",168,"8,850",10.66,9.96,13.37,17.35,14.88,10.54,11.8,7.68,3.75,54.02,33.2,"24,766"
