index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8082,遠賀野,366,"27,837","13,072",46.96,"4,083","16,727","6,963","25,142","10,819","2,792",25.81,373,"5,306,871","1,135",78,"3,037",9.81,9.35,9.56,13.63,11.92,12.63,14.73,11.11,7.26,42.36,42.9,"10,903"
8083,感田,345,"27,610","12,840",46.5,"3,855","16,580","7,122","29,843","11,118","3,024",27.2,609,"5,484,621","1,766",133,"4,397",9.47,9.02,10.08,12.99,11.28,13.25,14.82,11.52,7.57,51.4,39.9,"14,360"
8084,筑豊直方,888,"26,099","12,081",46.29,"3,305","15,502","7,261","30,731","10,602","2,938",27.71,534,"3,709,080","1,810",114,"5,467",8.43,8.73,9.71,11.94,11.09,13.76,15.69,12.16,8.49,46.07,44.57,"14,283"
8085,南直方御殿口,54,"18,409","8,473",46.03,"2,187","10,714","5,505","23,842","7,547","2,181",28.9,443,"2,300,360","1,574",96,"4,056",8.05,8.33,9.04,11.22,10.8,13.95,16.03,13.05,9.52,50.11,42.21,"11,833"
8086,直方,"1,453","21,610","10,008",46.31,"2,741","12,845","6,007","28,187","8,833","2,530",28.64,480,"2,836,527","1,730",106,"5,317",8.52,8.64,9.61,11.98,11.1,13.77,15.65,12.02,8.71,48.33,41.25,"13,920"
8087,南直方御殿口,54,"18,409","8,473",46.03,"2,187","10,714","5,505","23,842","7,547","2,181",28.9,443,"2,300,360","1,574",96,"4,056",8.05,8.33,9.04,11.22,10.8,13.95,16.03,13.05,9.52,50.11,42.21,"11,833"
8088,あかぢ,34,"13,912","6,476",46.55,"1,565","8,127","4,221","13,975","5,696","1,780",31.25,163,"688,944",710,27,"1,292",7.68,7.82,9.34,11.1,10.03,14.34,16.85,13.61,9.23,38.04,50.31,"5,971"
8089,藤棚,169,"11,370","5,333",46.9,"1,259","6,775","3,323","12,133","4,570","1,399",30.61,98,"617,436",523,15,"1,004",7.45,8.32,9.38,11.1,10.1,14.62,17.53,13.14,8.36,27.55,60.2,"5,645"
8090,中泉,93,"10,029","4,734",47.2,"1,139","6,004","2,882","11,138","3,898","1,141",29.27,78,"629,170",417,16,"1,060",7.61,8.8,9.23,11.37,10.11,14.54,17.24,12.89,8.22,26.92,60.26,"5,278"
8091,市場,66,"7,989","3,717",46.53,"1,026","4,718","2,241","8,379","2,899",661,22.8,63,"375,034",314,17,837,8.22,9.52,9.07,10.9,9.5,15.16,16.3,11.75,9.6,33.33,52.38,"3,564"
8092,ふれあい生力,199,"10,690","4,935",46.16,"1,378","6,234","3,074","9,446","3,938","1,001",25.42,93,"504,082",387,18,770,8.21,9.46,9.14,10.54,9.61,14.68,16.04,11.74,10.57,40.86,45.16,"3,166"
8093,赤池,312,"13,708","6,275",45.78,"1,848","7,979","3,880","12,586","5,104","1,323",25.92,140,"537,807",570,21,"1,146",8.78,9.48,9.08,10.83,9.53,14.64,15.84,11.4,10.43,41.43,45.71,"4,474"
