index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8094,人見,144,"15,114","6,871",45.46,"2,096","8,737","4,283","13,883","5,679","1,529",26.92,152,"593,113",619,25,"1,127",9,9.69,9.2,10.87,9.53,14.42,15.37,11.15,10.78,39.47,46.05,"4,987"
8095,金田,766,"16,484","7,520",45.62,"2,355","9,454","4,676","14,533","6,206","1,742",28.07,168,"674,177",644,23,"1,188",9.37,9.54,9.06,11.2,9.8,13.86,15.3,11.28,10.6,38.69,48.81,"4,659"
8096,上金田,187,"18,528","8,524",46.01,"2,674","10,914","4,938","16,115","7,264","2,073",28.54,176,"564,241",629,17,"1,976",9.48,9.57,9.62,11.72,9.95,14.35,15.25,11.59,8.46,32.95,53.41,"4,860"
8097,糒,145,"17,694","8,173",46.19,"2,518","10,515","4,659","17,333","7,157","2,185",30.53,173,"2,020,556",654,40,"2,686",9.36,9.46,9.5,12.05,10.04,14.43,15.46,12.01,7.7,30.64,50.29,"6,138"
8098,田川市立病院,172,"20,312","9,213",45.36,"2,818","12,252","5,231","20,768","8,684","3,102",35.72,224,"2,537,574",882,60,"3,681",9.19,9.94,10.52,12.07,9.9,13.86,15.36,11.91,7.25,36.16,47.32,"7,973"
8099,下伊田,248,"24,309","10,909",44.88,"3,326","14,631","6,329","27,150","10,879","4,234",38.92,418,"3,382,745","1,553",99,"4,361",9.13,9.89,10.61,12.29,10.14,13.18,15.13,11.94,7.69,46.17,42.11,"12,293"
8100,田川伊田,738,"23,174","10,277",44.35,"3,139","13,870","6,136","25,604","10,585","4,274",40.38,383,"2,275,477","1,466",85,"4,875",8.9,10.04,10.7,12.03,10.31,12.9,15.06,12,8.05,48.3,41.78,"10,655"
8101,勾金,354,"13,551","6,124",45.19,"1,633","7,740","4,166","13,158","5,421","1,730",31.91,140,"683,259",530,26,"1,813",7.93,8.83,8.97,10.44,9.71,14.51,15.68,12.93,11.01,35,55,"4,273"
8102,柿下温泉口,27,"8,885","4,056",45.65,"1,081","4,956","2,847","8,930","3,363",985,29.29,72,"259,437",300,11,"1,404",8.03,8.66,8.32,9.81,9.31,14.77,16.16,13.3,11.65,27.78,62.5,"2,630"
8103,内田,40,"3,998","1,862",46.57,497,"2,274","1,227","3,156","1,391",346,24.87,26,"63,917",126,2,92,8.08,8.83,9.45,9.25,8.98,16.08,15.13,12.15,12.05,30.77,57.69,912
8104,油須原,111,"1,972",909,46.1,252,"1,148",583,"1,768",730,167,22.88,26,"69,467",99,6,251,8.58,8.83,8.48,11.5,8.83,14.73,17.2,12.06,9.79,34.62,46.15,499
8105,源じいの森,56,"1,071",493,46.03,128,625,328,912,418,99,23.68,16,"48,117",61,7,86,7.77,8.88,8.14,11.01,7.86,14.89,18.04,12.12,11.29,31.25,62.5,291
8106,崎山,55,"1,389",650,46.8,117,796,485,984,501,98,19.56,6,"1,572",27,1,54,4.58,7.87,7.09,8.8,9.95,16.75,18.18,15.53,11.24,16.67,66.67,168
8107,犀川,346,"3,687","1,734",47.03,367,"2,083","1,229","3,427","1,351",302,22.35,49,"170,967",180,5,448,5.98,8.07,7.45,10.85,9.59,14.41,17.64,14.24,11.77,36.73,51.02,"1,110"
8108,東犀川三四郎,64,"3,654","1,698",46.47,428,"2,047","1,204","3,297","1,273",248,19.48,53,"173,304",179,4,515,6.88,9.19,7.37,10.9,10.3,13.29,16.72,14.38,10.98,41.51,45.28,"1,094"
8109,新豊津,311,"7,277","3,357",46.13,976,"4,269","2,038","6,363","2,618",516,19.71,54,"242,364",227,7,"1,667",7.61,11.08,7.22,10.91,12.43,13.64,16.92,12.14,8.05,38.89,48.15,"1,650"
8110,豊津,78,"8,314","3,922",47.17,"1,171","5,093","2,037","6,307","3,008",588,19.55,60,"322,728",274,10,"1,180",8.12,11.3,7.91,11.32,12.56,14.78,16.83,10.47,6.7,31.67,55,"1,774"
8111,今川河童,56,"15,345","7,466",48.65,"2,465","9,845","3,011","12,259","5,622","1,198",21.31,127,"1,118,292",461,24,"2,563",9.99,11.63,9.45,13.29,13.32,14.45,14.46,8.6,4.82,50.39,43.31,"3,787"
8112,美夜古泉,135,"21,660","10,472",48.35,"3,280","14,009","4,334","20,261","8,359","2,076",24.84,224,"2,623,888",879,52,"3,494",9.74,10.71,10.2,13.63,13.13,14.33,14.65,8.97,4.64,49.11,41.96,"8,500"
8113,行橋,837,"33,896","16,070",47.41,"4,744","21,184","7,865","34,922","14,187","4,464",31.47,528,"4,871,097","2,010",125,"4,280",9.44,9,10.6,14.29,11.93,12.9,15.52,10.35,5.98,53.03,39.58,"16,768"
8114,金田,277,"16,484","7,520",45.62,"2,355","9,454","4,676","14,533","6,206","1,742",28.07,168,"674,177",644,23,"1,188",9.37,9.54,9.06,11.2,9.8,13.86,15.3,11.28,10.6,38.69,48.81,"4,659"
8115,豊前大熊,67,"17,858","8,192",45.87,"2,585","10,407","4,870","15,546","7,043","2,065",29.32,163,"459,122",594,11,"1,919",9.34,9.71,9.6,11.36,9.84,14.13,15.62,11.59,8.81,36.81,49.69,"4,320"
8116,松山,30,"18,213","8,348",45.84,"2,591","10,666","4,960","15,696","7,267","2,174",29.92,166,"476,598",592,12,"1,754",9.3,9.5,9.63,11.29,9.71,14.54,15.66,11.86,8.51,36.14,51.2,"4,565"
8117,糸田,198,"20,206","9,359",46.32,"2,933","12,018","5,249","17,915","8,276","2,534",30.62,201,"2,133,953",692,34,"1,866",9.54,9.62,9.42,12,10.05,14.5,15.69,11.79,7.38,34.33,51.74,"6,217"
8118,大藪,231,"26,364","11,798",44.75,"3,578","15,677","7,087","28,935","11,583","4,248",36.67,464,"3,639,047","1,618",98,"4,517",9.07,9.6,10.01,11.92,10.04,13.48,15.66,12.38,7.82,45.47,42.89,"12,704"
8119,田川後藤寺,505,"24,863","11,178",44.96,"3,316","14,640","6,884","26,351","10,957","3,922",35.79,420,"3,031,320","1,507",88,"3,060",8.84,9,9.33,11.56,10.33,14.02,16.1,12.57,8.25,46.67,43.33,"11,518"
8120,田川伊田,738,"23,170","10,272",44.33,"3,139","13,870","6,132","25,529","10,589","4,276",40.38,383,"2,258,845","1,466",85,"4,840",8.91,10.04,10.71,12.03,10.31,12.9,15.06,12,8.04,48.56,41.78,"10,626"
8121,上伊田,79,"19,191","8,491",44.24,"2,342","11,395","5,432","21,457","8,367","3,248",38.82,313,"1,554,839","1,149",70,"4,333",8,9.7,10.74,10.9,9.96,13.67,15.25,12.44,9.34,48.56,43.77,"8,124"
8122,勾金,354,"13,551","6,124",45.19,"1,633","7,740","4,166","13,158","5,421","1,730",31.91,140,"683,259",530,26,"1,813",7.93,8.83,8.97,10.44,9.71,14.51,15.68,12.93,11.01,35,55,"4,273"
8123,柿下温泉口,27,"8,885","4,056",45.65,"1,081","4,956","2,847","8,930","3,363",985,29.29,72,"259,437",300,11,"1,404",8.03,8.66,8.32,9.81,9.31,14.77,16.16,13.3,11.65,27.78,62.5,"2,630"
8124,内田,40,"3,966","1,848",46.6,493,"2,260","1,214","3,137","1,374",341,24.82,26,"64,469",126,2,88,8.06,8.8,9.5,9.27,8.97,16.1,15.12,12.12,12.05,30.77,57.69,914
8125,赤,56,"2,597","1,178",45.36,342,"1,574",681,"2,640",944,225,23.83,32,"94,156",126,2,526,8.58,9.35,9.2,11.74,9.43,16.01,15.85,11.35,8.5,28.13,46.88,701
8126,油須原,111,"1,973",910,46.12,252,"1,148",583,"1,769",730,167,22.88,26,"69,452",99,6,251,8.57,8.83,8.52,11.5,8.83,14.73,17.2,12.05,9.78,34.62,46.15,500
8127,源じいの森,56,"1,068",491,45.97,128,623,327,909,417,99,23.74,16,"47,863",61,7,85,7.79,8.91,8.16,11.04,7.88,14.94,17.9,12.06,11.32,31.25,62.5,290
8128,崎山,55,"1,400",655,46.79,118,802,488,991,505,99,19.6,6,"1,568",27,1,54,4.61,7.87,7.09,8.79,10,16.74,18.16,15.53,11.21,16.67,66.67,169
8129,犀川,346,"3,687","1,734",47.03,367,"2,083","1,229","3,430","1,350",302,22.37,49,"170,967",180,5,448,5.98,8.08,7.45,10.85,9.6,14.41,17.65,14.22,11.77,36.73,51.02,"1,115"
8130,東犀川三四郎,64,"3,654","1,698",46.47,428,"2,047","1,204","3,297","1,273",248,19.48,53,"173,304",179,4,515,6.88,9.19,7.37,10.9,10.3,13.29,16.72,14.38,10.98,41.51,45.28,"1,094"
8131,新豊津,311,"7,298","3,368",46.15,981,"4,284","2,039","6,372","2,625",517,19.7,54,"242,534",228,7,"1,669",7.61,11.11,7.23,10.93,12.45,13.64,16.91,12.12,8.01,38.89,48.15,"1,650"
8132,豊津,78,"8,307","3,918",47.17,"1,171","5,087","2,036","6,309","3,005",588,19.57,60,"321,027",274,10,"1,191",8.13,11.3,7.91,11.32,12.58,14.76,16.83,10.48,6.69,31.67,55,"1,768"
8133,今川河童,56,"15,345","7,466",48.65,"2,465","9,845","3,011","12,259","5,622","1,198",21.31,127,"1,118,292",461,24,"2,563",9.99,11.63,9.45,13.29,13.32,14.45,14.46,8.6,4.82,50.39,43.31,"3,787"
8134,美夜古泉,135,"21,872","10,572",48.34,"3,306","14,145","4,382","20,568","8,459","2,118",25.04,230,"2,680,090",907,54,"3,518",9.74,10.67,10.22,13.67,13.11,14.31,14.65,8.97,4.66,49.13,41.74,"8,699"
8135,行橋,837,"33,536","15,908",47.44,"4,702","20,963","7,768","34,532","14,060","4,429",31.5,526,"4,836,655","1,999",125,"4,212",9.47,8.98,10.62,14.32,11.89,12.9,15.54,10.35,5.93,53.04,39.54,"16,591"
8136,小郡,"1,140","25,698","12,228",47.58,"3,573","16,502","5,690","21,176","9,498","2,288",24.09,215,"1,496,702",964,51,"3,369",8.76,11.2,11.08,12.67,12.11,14.01,14.42,10.02,5.74,47.91,43.72,"8,048"
8137,大板井,48,"25,734","12,243",47.58,"3,539","16,420","5,767","21,228","9,544","2,349",24.61,216,"1,496,863",961,55,"3,724",8.66,11.3,11.09,12.73,12,13.88,14.22,10.19,5.92,47.69,43.98,"7,762"
8138,松崎,410,"7,577","3,519",46.44,977,"4,439","2,153","8,439","2,427",430,17.72,53,"372,394",298,15,"1,340",8.07,9.7,9.14,11.78,11.03,13.88,14.66,12.06,9.67,30.19,49.06,"3,722"
8139,今隈,106,"9,853","4,608",46.77,"1,421","5,979","2,449","10,714","3,039",554,18.23,60,"436,830",367,19,"1,420",9.09,10.83,9.74,12.83,11.75,13.29,13.83,10.29,8.36,35,50,"5,087"
8140,西太刀洗,183,"10,848","5,127",47.26,"1,694","6,719","2,423","10,196","3,369",589,17.48,53,"401,677",356,19,716,9.83,11.54,9.97,13.44,12.3,13.08,13.27,9.22,7.35,32.08,52.83,"5,160"
8141,山隈,199,"10,063","4,774",47.44,"1,695","6,064","2,294","9,969","3,016",538,17.84,42,"221,527",324,21,472,10.89,11.44,9.45,14.01,12.18,12.26,12.38,8.9,8.49,35.71,52.38,"5,480"
8142,太刀洗,225,"9,818","4,665",47.51,"1,653","5,948","2,201","9,739","2,982",538,18.04,40,"186,976",338,18,407,10.68,11.79,9.41,13.75,12.58,12.37,12.45,9.22,7.75,37.5,52.5,"5,486"
8143,高田,59,"11,980","5,720",47.75,"1,930","7,330","2,705","10,670","4,128",958,23.21,113,"1,267,105",495,24,288,10.44,10.83,9.84,13.58,12.11,13.06,13.2,9.78,7.15,43.36,45.13,"5,808"
8144,甘木,577,"22,551","10,554",46.8,"3,364","13,976","5,155","23,510","8,414","2,309",27.44,405,"5,021,172","1,382",77,"3,518",9.77,9.95,10.9,13.46,11.48,13.58,13.86,9.95,7.06,46.91,40,"11,663"
8145,福島,"3,400","52,401","24,737",47.21,"6,761","32,586","11,791","86,870","24,318","10,458",43.01,954,"9,275,133","5,169",335,"15,839",8.56,9.25,10.22,14.13,14.34,13.31,12.72,9.87,7.61,52.94,39.94,"52,214"
8146,曽根田,781,"54,220","25,531",47.09,"7,220","33,627","12,117","88,022","25,005","10,470",41.87,948,"9,035,715","5,242",338,"15,647",8.76,9.5,9.84,14.22,14.29,13.36,12.81,9.93,7.29,52.53,40.93,"52,816"
8147,美術館図書館前,475,"53,674","25,322",47.18,"7,527","33,084","11,956","75,624","23,813","9,127",38.33,831,"9,088,823","4,552",310,"11,412",9.13,9.89,9.3,14.39,14.12,13.37,12.84,9.91,7.06,51.74,41.64,"44,629"
8148,岩代清水,887,"53,924","25,726",47.71,"8,389","33,112","11,699","43,155","22,050","6,759",30.65,397,"6,389,202","1,870",90,"7,015",10.06,10.57,9.22,14.99,13.53,12.9,12.52,9.98,6.22,43.07,45.59,"15,607"
8149,泉,414,"52,911","25,317",47.85,"8,177","32,467","11,655","41,036","21,226","6,213",29.27,390,"6,404,970","1,794",90,"5,886",9.98,10.5,9.15,15.03,13.45,12.82,12.72,10.23,6.12,44.1,44.1,"14,580"
8150,上松川,697,"48,245","23,326",48.35,"7,227","29,610","10,989","37,663","18,323","4,889",26.68,339,"5,174,400","1,503",75,"4,778",9.64,10.25,8.95,15.06,13.59,12.68,12.92,10.91,6,43.95,44.84,"13,101"
8151,笹谷,"1,220","42,491","20,538",48.33,"6,320","26,035","9,803","34,208","15,915","4,117",25.87,310,"4,547,848","1,369",68,"3,642",9.59,10.11,8.89,15.08,13.52,12.58,13.19,11,6.04,42.26,45.48,"12,836"
8152,桜水,611,"31,341","14,923",47.61,"4,657","18,787","7,634","27,966","11,882","2,861",24.08,262,"3,661,908","1,179",63,"2,935",9.63,10.06,8.68,14.27,12.47,12.81,14.19,11.47,6.43,41.6,43.51,"11,897"
8153,平野,744,"21,619","10,326",47.76,"2,991","13,123","5,332","20,201","8,075","1,905",23.59,183,"2,376,096",881,44,"2,011",9.39,8.76,9.27,14.33,11.86,13.16,15.37,11.54,6.32,38.8,43.17,"9,013"
8154,医王寺前,745,"16,101","7,636",47.43,"1,827","9,521","4,637","15,571","5,898","1,413",23.96,166,"1,183,099",804,42,"2,137",7.36,8.3,8.28,11.87,11.12,14.63,17.23,12.83,8.39,34.34,53.01,"6,297"
8155,花水坂,565,"14,435","6,833",47.34,"1,562","8,296","4,487","13,095","5,344","1,461",27.34,149,"787,224",716,44,"1,836",6.96,8.5,8.06,11,11.2,14.11,16.57,13.96,9.64,34.9,54.36,"4,635"
8156,飯坂温泉,959,"12,959","6,121",47.23,"1,394","7,408","4,068","11,710","4,818","1,371",28.46,123,"401,453",611,33,"1,659",6.96,8.36,8.02,11.02,11.1,14.02,16.55,14.06,9.91,36.59,54.47,"4,065"
8157,白坂,130,"6,543","3,263",49.87,"1,138","4,312","1,081","5,152","2,247",386,17.18,10,"2,947",140,9,803,9.88,13.99,8.59,13.41,16.44,15.1,11.27,7.58,3.74,10,80,"2,298"
8158,新白河,"5,788","20,091","10,146",50.5,"3,268","13,019","3,643","23,412","8,305","2,874",34.61,247,"4,238,105","1,248",113,"3,113",10.59,10.79,10.82,15.55,14.35,13.6,10.83,8.51,4.96,48.58,34.01,"13,501"
8159,白河,"1,412","21,077","10,231",48.54,"2,798","12,790","5,415","25,295","8,746","2,952",33.75,385,"3,667,829","1,731",136,"4,797",8.56,8.92,10.03,13.33,11.97,13.82,13.86,11.63,7.87,50.39,38.44,"12,233"
8160,久田野,316,"3,832","1,852",48.33,622,"2,435",827,"2,762","1,228",243,19.79,19,"61,316",121,10,447,9.78,10.61,12.2,13.29,11.74,14.13,12.18,8.75,7.31,26.32,42.11,843
8161,泉崎,880,"2,987","1,455",48.71,439,"1,818",720,"4,009",932,188,20.17,34,"104,145",148,5,498,9.68,9.71,10.02,12.47,10.86,15.46,13.61,10.66,7.53,35.29,52.94,"2,427"
8162,矢吹,"2,348","11,638","5,847",50.24,"1,657","7,181","2,679","9,940","4,186","1,244",29.72,146,"1,318,622",561,45,862,9.43,10.21,10.1,13.16,11.38,14.29,14.52,10.29,6.62,50.68,37.67,"4,477"
8163,鏡石,"1,730","9,916","4,871",49.12,"1,624","6,321","1,952","8,919","3,327",711,21.37,92,"841,921",458,37,"1,947",10.43,11.14,10.58,15.05,11.74,13.81,13.09,8.8,5.37,38.04,39.13,"3,434"
8164,須賀川,"4,688","27,585","13,489",48.9,"4,353","17,517","5,465","28,627","10,479","3,093",29.52,428,"5,081,710","1,789",132,"3,789",10.74,9.77,10.45,15.66,12.73,13.66,12.11,8.99,5.88,51.64,34.58,"14,728"
8165,安積永盛,"4,558","29,462","15,726",53.38,"3,681","19,498","5,628","33,273","13,001","5,942",45.7,257,"4,816,958","1,509",72,"8,971",8.56,11.27,15.56,13.61,11.83,12.24,12.95,8.51,5.46,38.52,35.8,"14,890"
8166,郡山,"34,764","53,855","26,239",48.72,"6,874","35,031","10,595","77,413","25,279","11,507",45.52,999,"12,595,790","4,801",317,"8,911",8.5,9.49,12.05,14.96,14.16,13.89,11.91,8.86,6.17,60.96,30.93,"50,496"
8167,日和田,"1,400","11,560","5,689",49.21,"1,871","7,340","2,305","9,552","4,053","1,000",24.67,128,"2,316,894",442,26,"1,304",10.53,10.5,11.36,15.73,12.62,13.18,10.77,9.07,6.23,57.81,28.13,"4,109"
8168,五百川,894,"4,386","2,168",49.43,675,"2,772",944,"7,889","1,337",242,18.1,38,"759,071",212,7,580,9.45,11.05,11.18,12.91,12.34,15.14,11.43,10.09,6.4,34.21,42.11,"5,613"
8169,本宮,"3,884","16,172","7,855",48.57,"2,192","10,049","3,923","15,640","5,459","1,331",24.38,212,"1,269,307",972,44,"1,648",8.43,10.15,10.07,13.17,12.16,14.27,13.32,10.55,7.88,46.23,41.51,"7,815"
8170,杉田,"1,032","5,568","2,699",48.47,853,"3,520","1,192","5,343","1,658",268,16.16,40,"230,152",202,7,698,9.27,11.62,10.11,12.45,12.34,15.42,12.86,9.02,6.9,37.5,32.5,"2,488"
8171,二本松,"4,170","17,387","8,363",48.1,"2,368","10,703","4,242","20,228","6,437","1,790",27.81,285,"2,070,369","1,211",45,"3,288",8.67,9.74,10.3,13.21,12.28,14.05,13.18,11.06,7.52,49.47,38.6,"10,362"
8172,安達,"1,630","6,873","3,283",47.77,"1,036","4,107","1,718","6,913","2,119",324,15.29,89,"975,240",346,16,705,9.8,9.84,9.08,14.17,11.09,13.17,14.26,10.86,7.73,50.56,31.46,"3,502"
8173,松川,"2,368","7,837","3,812",48.64,"1,061","4,817","1,928","6,299","2,539",392,15.44,49,"279,017",219,7,647,8.28,10.63,8.89,11.54,12.76,14.91,14.58,11.31,7.09,42.86,46.94,"2,549"
8174,金谷川,"5,648","4,442","2,322",52.27,347,"3,260",746,"8,773","2,171","1,473",67.85,20,"165,864",113,7,"4,563",4.41,18.38,30.81,7.35,7.72,8.68,10.02,7.6,5.03,35,40,"3,055"
8175,南福島,"3,630","30,111","14,703",48.83,"4,327","19,577","5,680","27,130","12,356","4,377",35.42,233,"4,653,729","1,012",59,"3,078",9.81,10.46,12.66,14.72,12.79,13.59,12.04,8.51,5.42,35.62,42.49,"13,945"
8176,福島,"33,452","52,461","24,764",47.2,"6,773","32,623","11,802","86,901","24,341","10,461",42.98,953,"9,221,881","5,171",335,"15,918",8.56,9.26,10.2,14.12,14.35,13.31,12.72,9.87,7.6,52.89,39.98,"52,151"
8177,東福島,"1,492","24,616","11,809",47.97,"3,712","15,530","4,985","27,200","9,433","2,735",28.99,277,"4,567,337","1,318",68,"4,882",10.2,10.39,10.49,15.84,12.25,12.61,13.56,8.84,5.81,43.32,36.46,"13,442"
8178,伊達,"1,958","14,019","6,798",48.49,"1,984","8,417","3,536","13,609","4,975","1,135",22.81,124,"1,258,284",550,18,"1,805",9.12,10.62,8.68,13.54,11.77,12.85,15,10.95,7.47,50,37.9,"6,188"
8179,桑折,"1,390","9,491","4,512",47.54,"1,209","5,516","2,763","7,829","3,096",527,17.02,105,"552,195",457,16,961,7.96,9.65,8.54,11.56,11.48,13.58,15.14,12.44,9.65,44.76,40.95,"2,906"
8180,藤田,"1,416","7,454","3,525",47.29,903,"4,310","2,249","6,757","2,425",410,16.91,104,"588,848",339,15,600,7.3,9.58,7.34,11.06,10.67,14.35,17.31,12.49,9.89,45.19,46.15,"2,779"
8181,貝田,238,"1,077",507,47.08,100,587,385,816,324,53,16.36,12,0,29,1,69,6.36,7.01,7.1,9.25,9.53,15.61,16.82,14.58,13.74,25,33.33,114
8182,福島,"31,738","52,461","24,764",47.2,"6,773","32,623","11,802","86,901","24,341","10,461",42.98,953,"9,221,881","5,171",335,"15,918",8.56,9.26,10.2,14.12,14.35,13.31,12.72,9.87,7.6,52.89,39.98,"52,151"
8183,笹木野,310,"32,306","15,743",48.73,"4,671","19,995","7,193","26,682","11,945","3,315",27.75,200,"2,980,035","1,034",49,"3,016",9.44,9.68,9.29,15.35,13.6,13,13.11,10.09,6.43,36.5,46,"10,707"
8184,庭坂,832,"7,718","3,666",47.5,840,"4,406","2,389","6,016","2,598",437,16.82,45,"59,755",188,6,645,6.51,8.88,7.43,10.02,11.18,14.82,17.72,13.74,9.7,33.33,42.22,"1,738"
8185,赤岩,6,20,7,35,1,10,9,14,8,2,25,0,0,0,0,0,5,0,10,15,0,15,30,0,25,0,0,0
8186,いわき,"11,992","32,380","15,743",48.62,"4,222","20,273","7,509","49,183","14,526","5,848",40.26,714,"8,167,825","3,228",262,"7,599",8.67,9.31,10.09,14.56,13.58,13.2,13.19,10.3,7.09,53.5,36.27,"28,941"
8187,赤井,260,"13,689","6,707",49,"2,027","8,748","2,857","15,309","5,208","1,335",25.63,68,"491,954",357,21,"2,623",9.37,10.17,10.72,14.47,12.24,14.19,13.68,9.21,5.94,41.18,42.65,"7,117"
8188,小川郷,656,"5,041","2,422",48.05,614,"2,952","1,479","3,898","1,677",297,17.71,37,"92,621",144,5,717,7.14,9.61,7.35,9.93,11.46,16.25,15.3,12.82,10.13,27.03,59.46,903
8189,江田,32,118,58,49.15,9,63,40,88,46,6,13.04,1,0,3,0,0,2.63,11.4,3.51,4.39,10.53,22.81,11.4,18.42,14.91,100,0,9
8190,川前,96,292,139,47.6,14,149,131,330,126,41,32.54,3,0,21,0,26,3.05,4.75,5.76,5.08,11.19,18.64,12.88,25.76,12.88,0,100,138
8191,夏井,64,878,438,49.89,111,502,289,794,246,39,15.85,15,"16,415",48,0,74,8.1,8.66,8.21,8.55,10.77,16.43,12.1,15.43,11.76,26.67,40,302
8192,小野新町,802,"5,055","2,398",47.44,687,"2,975","1,387","6,414","1,767",410,23.2,122,"570,098",403,22,"1,351",8.48,10.18,8.28,10.81,12.26,15.43,12.79,12.2,9.57,45.08,44.26,"3,049"
8193,神俣,406,"2,561","1,206",47.09,344,"1,468",758,"2,556",769,135,17.56,46,"127,702",154,11,389,7.48,11.88,8.18,8.84,12.93,13.95,12.35,13.63,10.75,43.48,43.48,"1,075"
8194,菅谷,188,"1,551",732,47.2,190,929,436,"1,139",409,44,10.76,17,"37,629",61,4,104,6.56,11.38,9.58,8.87,10.68,18.39,12.03,11.77,10.74,35.29,58.82,331
8195,大越,446,"3,005","1,449",48.22,417,"1,707",859,"2,741",920,156,16.96,35,"90,430",159,3,423,8.08,11.6,7.74,8.91,13.87,13.97,14.01,13.17,8.65,34.29,51.43,999
8196,磐城常葉,574,"1,681",838,49.85,156,964,547,"1,600",469,63,13.43,20,"31,660",71,0,86,6,8.64,9.18,7.14,10.98,17.82,13.92,14.7,11.64,25,65,640
8197,船引,"1,840","9,312","4,408",47.34,"1,457","5,714","2,096","9,769","3,153",797,25.28,177,"1,388,990",638,22,"1,670",9.88,11.2,11,12.58,12.9,13.76,11.61,9.63,7.45,46.89,37.85,"4,753"
8198,要田,362,"1,784",879,49.27,188,"1,047",546,"2,797",476,47,9.87,22,"104,033",109,7,185,6.12,9.89,9.83,7.75,11.01,17.08,13.26,14.44,10.62,36.36,45.45,"1,729"
8199,三春,"2,032","6,985","3,290",47.1,814,"4,119","2,041","7,581","2,340",445,19.02,132,"457,270",451,19,"1,746",6.67,10.04,8.99,10.02,11.48,14.59,15.3,12.54,10.37,44.7,41.67,"3,008"
