駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5548,箱作,"5,116","1,608",781,48.57,195,982,416,"1,515",630,150,24,21,"144,054",114,6,114,7.85,8.73,10.55,13.13,11.49,13.51,17.02,10.93,6.78,38.1,47.62,633
5549,淡輪,"2,076","1,776",814,45.83,187,"1,049",528,"1,711",688,171,25,24,"64,721",93,6,265,5.95,10.32,7.99,11.9,12.07,13.1,17.69,13.38,7.6,37.5,45.83,598
5550,みさき公園,"5,457","1,579",738,46.74,194,964,387,"1,147",620,137,22,2,"9,285",43,8,29,7.32,10.05,8.68,11.34,13.93,14.39,17.5,11.34,5.44,50,50,465
5551,孝子,146,141,64,45.39,6,84,51,93,60,15,25,0,0,4,0,0,2.14,6.43,7.14,9.29,12.14,13.57,22.14,17.14,10,0,0,11
5552,羽衣,"19,132","7,463","3,507",46.99,"1,329","4,705","1,423","7,386","2,842",673,24,75,"445,669",304,24,"2,291",11.5,11.34,8.5,15.1,16.44,11.29,12.35,8.59,4.88,48,50.67,"2,321"
5553,伽羅橋,"1,595","8,414","3,943",46.86,"1,112","5,089","2,210","6,632","3,077",755,25,54,"193,329",245,19,666,8.25,9.52,8.74,12.42,13.42,12.46,16.23,11.41,7.56,46.3,50,"2,043"
5554,高師浜,"1,629","6,510","3,080",47.31,826,"4,039","1,640","4,536","2,599",710,27,64,"363,767",255,24,99,8.01,9.13,9.67,12.8,13.3,12.76,16.02,11.19,7.13,51.56,43.75,"1,713"
5555,泉佐野,"21,418","5,496","2,577",46.89,662,"3,412","1,422","7,974","2,355",896,38,171,"750,522",674,65,"1,227",7.84,8.21,11.45,13.83,13.48,11.43,14.94,11.83,6.99,56.73,40.94,"4,452"
5556,りんくうタウン,"14,356","1,702",888,52.17,215,"1,194",292,"3,763",895,506,57,59,"1,205,216",176,13,0,9.23,9.7,19.4,16.87,12.99,9.17,10.93,8.17,3.53,89.83,8.47,"3,247"
5557,関西空港,"22,157",1,1,100,0,0,0,"6,820",1,0,0,21,"270,047",172,32,0,0,0,0,0,0,0,0,0,0,61.9,38.1,"6,820"
5558,みさき公園,"5,457","1,579",738,46.74,194,964,387,"1,147",620,137,22,2,"9,285",43,8,29,7.32,10.05,8.68,11.34,13.93,14.39,17.5,11.34,5.44,50,50,465
5559,深日町,566,"1,694",757,44.69,177,983,533,"1,804",676,189,28,36,"212,427",106,7,172,6.2,8.15,9.21,10.1,11.87,12.88,19.31,15.06,7.21,33.33,52.78,726
5560,深日港,731,"1,581",733,46.36,140,931,508,"1,439",651,178,27,30,"127,178",95,10,0,4.87,8.16,8.79,9.42,11.45,14.1,20.68,14.23,8.29,40,50,606
5561,多奈川,701,"1,177",549,46.64,104,678,394,"1,060",502,143,28,15,"41,839",58,7,0,4.59,8.67,7.99,8.84,11.38,14.02,21.58,14.44,8.5,46.67,46.67,435
5562,難波,"244,046","7,599","3,714",48.87,382,"5,458","1,472","38,641","5,099","3,591",70,891,"34,108,719","2,621",383,"1,378",4.01,3.91,21.16,18.1,12.95,12.1,13.56,9.27,4.94,80.58,18.18,"35,813"
5563,今宮戎,"1,336","14,062","7,733",54.99,681,"9,766","3,068","18,340","10,145","7,652",75,289,"4,900,468","1,325",154,787,3.36,4.29,21.41,16.41,11.52,11.94,15.65,10.49,4.94,67.47,28.72,"14,038"
5564,新今宮,"86,732","20,731","15,518",74.85,600,"12,357","6,933","19,204","16,913","11,768",70,207,"2,123,715","1,058",156,"1,701",1.93,2.83,9.89,9.13,10.72,16.44,28.15,16.85,4.06,51.69,44.44,"7,707"
5565,萩ノ茶屋,"1,555","22,194","16,590",74.75,654,"11,794","8,980","20,975","17,274","12,030",70,318,"1,987,456","1,407",208,593,1.99,2.66,5.29,6.37,10.1,16.46,30.52,20.67,5.94,56.6,41.82,"8,176"
5566,天下茶屋,"65,289","15,712","8,249",52.5,"1,229","9,061","5,222","15,065","9,218","5,762",63,225,"1,797,184",972,128,"1,367",5.22,5.66,9.48,12.44,11.4,12.17,19.51,16.13,7.99,48,47.56,"5,874"
5567,岸里玉出,"6,236","14,336","7,107",49.57,"1,533","8,735","3,895","9,450","7,492","3,912",52,97,"625,003",490,60,731,7.09,7.89,9.43,13.2,13.61,12.61,16.66,13.1,6.4,52.58,44.33,"2,745"
5568,帝塚山,"7,633","10,961","5,005",45.66,"1,324","6,727","2,855","10,490","4,859","1,741",36,100,"558,666",440,45,"2,847",8.07,8.38,9.32,12.44,14.49,12.94,14.81,11.65,7.91,54,39,"3,029"
5569,住吉東,"6,474","13,528","6,379",47.15,"1,667","8,258","3,538","9,225","5,991","2,314",39,89,"562,899",496,39,573,7.99,9.11,10.27,12.9,13.57,11.73,14.74,11.83,7.87,49.44,46.07,"2,980"
5570,沢ノ町,"8,153","14,138","6,695",47.35,"1,825","8,570","3,676","12,683","6,397","2,617",41,104,"602,131",611,65,"2,610",7.94,9.62,10.08,13.67,14.28,10.7,14.4,12.22,7.09,57.69,37.5,"3,919"
5571,我孫子前,"8,188","13,112","6,272",47.83,"1,640","7,937","3,467","10,945","6,026","2,548",42,107,"603,830",577,49,"1,856",8.01,9.42,11.75,13.49,13.14,10.36,14.17,12.24,7.42,58.88,36.45,"3,417"
5572,浅香山,"8,364","6,880","3,331",48.42,734,"4,169","1,950","7,304","3,008","1,195",40,68,"833,326",369,36,742,6.93,7.72,8.96,13.64,13.03,12.04,17.94,12.47,7.28,47.06,45.59,"3,565"
5573,堺東,"59,796","7,682","3,843",50.03,889,"5,110","1,589","15,413","3,847","1,925",50,232,"3,907,767","1,052",144,"1,356",7.54,9.33,12.18,15.54,15.26,12.02,13.35,9.2,5.56,68.1,31.03,"11,688"
5574,三国ケ丘,"39,046","7,188","3,466",48.22,958,"4,944","1,245","7,836","3,461","1,514",44,64,"1,241,601",387,43,941,9,8.79,13.02,17.76,16,11.28,12.25,8.23,3.68,50,42.19,"4,616"
5575,百舌鳥八幡,"4,278","9,304","4,460",47.94,"1,256","6,292","1,707","8,253","4,261","1,733",41,69,"1,058,282",409,46,704,9.15,8.65,13.13,18.06,14.55,11.2,13.13,8.29,3.85,55.07,37.68,"4,531"
5576,中百舌鳥,"71,116","11,121","5,336",47.98,"1,672","7,846","1,455","7,691","5,454","2,645",49,68,"1,150,716",441,35,583,11.48,7.72,14.78,23.11,15.07,9.34,9.74,5.7,3.05,51.47,41.18,"4,208"
5577,白鷺,"9,846","9,991","4,732",47.36,"1,369","6,375","2,129","10,585","4,911","2,171",44,43,"391,070",218,34,"5,259",9.66,8.35,10.56,16.7,13.72,11.23,15.64,10.34,3.8,39.53,55.81,"1,538"
5578,初芝,"17,006","7,416","3,550",47.87,812,"4,491","2,089","5,421","3,103",873,28,95,"1,507,563",317,29,253,6.77,8.53,9.32,12.86,13.09,11.62,19.28,13.29,5.25,57.89,41.05,"2,126"
5579,萩原天神,"7,149","6,067","2,855",47.06,813,"3,792","1,443","4,029","2,528",744,29,45,"193,377",201,18,455,9.05,9.08,10.8,14.87,12.21,11.86,15.42,11.71,5.01,44.44,53.33,"1,180"
5580,北野田,"34,543","9,306","4,379",47.06,"1,204","5,932","2,144","6,378","3,910","1,192",30,136,"951,276",475,51,524,8.85,8.33,10.49,14.47,13.55,12.91,15.28,10.58,5.54,55.15,41.91,"2,569"
5581,狭山,"5,806","7,161","3,416",47.7,968,"4,545","1,625","3,798","2,817",722,26,17,"74,508",119,9,262,8.73,9.71,9.96,13.59,13.17,13.6,15.47,10.02,5.76,41.18,52.94,934
5582,大阪狭山市,"9,017","6,392","2,846",44.52,873,"4,047","1,451","4,487","2,377",686,29,27,"277,485",145,11,929,9.02,9.49,10.55,14.91,13.15,12.1,14.99,9.31,6.48,40.74,48.15,"1,159"
5583,金剛,"34,906","4,754","2,204",46.36,525,"3,047","1,151","5,007","2,137",761,36,97,"1,047,381",326,33,457,7.29,8.47,12.2,13.77,12.56,12.64,16.09,11.8,5.19,55.67,39.18,"2,635"
5584,滝谷,"5,417","4,263","2,047",48.02,603,"2,618","1,030","2,722","1,601",441,28,28,"422,768",131,10,0,9.11,10.4,9.91,14.62,13.51,10.73,14.38,9.58,7.74,35.71,42.86,"1,123"
5585,千代田,"14,869","4,916","2,306",46.91,719,"3,132","1,064","6,613","1,993",571,29,82,"1,050,459",322,26,"1,895",8.46,12.19,10.54,12.63,15.04,12.17,14.24,10.11,4.62,52.44,40.24,"2,785"
5586,河内長野,"28,496","3,543","1,667",47.05,354,"2,086","1,103","5,303","1,467",499,34,153,"1,313,742",454,45,416,6.13,8.41,8.87,12.54,12.62,12,16.66,12.93,9.85,65.36,30.72,"3,419"
5587,三日市町,"16,013","3,370","1,577",46.8,413,"2,093",864,"2,433","1,268",268,21,40,"401,262",134,11,205,8.1,8.96,10.56,12.37,11.45,13.56,17.24,10.83,6.94,40,50,873
5588,美加の台,"4,411","2,800","1,302",46.5,344,"1,899",557,"1,750","1,009",169,17,8,"88,686",45,4,202,7.32,11.18,10.82,11.79,12.68,17.11,15.57,7.89,5.64,25,50,381
5589,千早口,304,309,144,46.6,22,185,107,209,112,24,21,3,0,14,3,0,4.14,7.64,9.87,6.69,10.19,17.83,17.2,16.88,9.55,0,100,40
5590,天見,384,179,83,46.37,9,95,76,241,66,11,17,0,0,6,1,83,1.12,6.74,9.55,8.99,7.3,12.92,21.91,20.79,10.67,0,0,49
5591,汐見橋,527,"13,597","6,333",46.58,"1,054","9,831","2,246","12,512","8,599","5,855",68,99,"1,858,155",830,69,616,5.69,5.37,22.48,21.08,12.01,9.84,11.57,7.38,4.58,44.44,41.41,"8,621"
5592,芦原町,173,"5,649","2,709",47.96,469,"3,750","1,271","6,622","3,275","1,988",61,38,"1,141,751",396,23,779,5.81,6.52,18.84,15.73,11.17,10.82,14.49,10.9,5.72,31.58,39.47,"3,959"
5593,木津川,97,"4,114","2,003",48.69,488,"2,404","1,180","4,818","1,948",847,43,23,"305,270",229,9,650,7.59,9.33,10.02,12.36,12.28,11.62,15.67,13.85,7.27,43.48,43.48,"1,996"
5594,津守,617,"6,038","3,158",52.3,586,"3,573","1,845","5,905","2,951","1,389",47,45,"157,612",289,29,972,5.8,8.06,8.29,11.48,13.02,12.77,19.49,14.49,6.6,46.67,42.22,"2,163"
5595,西天下茶屋,285,"14,408","7,308",50.72,"1,394","8,121","4,823","12,458","7,177","3,525",49,190,"767,023",757,92,"1,614",6.03,7.63,8.64,11.35,11.3,11.87,18.93,16.17,8.07,45.26,52.63,"3,724"
5596,岸里玉出,"6,334","14,336","7,107",49.57,"1,533","8,735","3,895","9,450","7,492","3,912",52,97,"625,003",490,60,731,7.09,7.89,9.43,13.2,13.61,12.61,16.66,13.1,6.4,52.58,44.33,"2,745"
5597,中百舌鳥,"20,924","11,835","5,661",47.83,"1,837","8,368","1,463","7,817","5,833","2,833",49,67,"1,231,187",428,34,785,12.08,7.52,14.43,23.68,15.17,9.32,9.56,5.45,2.78,50.75,41.79,"4,020"
5598,深井,"24,724","7,573","3,645",48.13,"1,149","5,093","1,248","7,450","3,431","1,361",40,76,"908,934",512,50,752,10.16,10.36,12.96,17.98,15,9.97,12.83,7.89,2.86,47.37,43.42,"3,996"
5599,泉ケ丘,"42,487","8,339","3,849",46.16,996,"5,290","1,953","6,405","4,164","1,835",44,103,"2,839,183",230,32,455,7.48,8.91,9.18,14.87,14.89,12.43,16.17,11.28,4.81,65.05,30.1,"2,548"
5600,栂・美木多,"21,078","4,945","2,331",47.14,617,"3,258","1,060","4,473","2,213",725,33,28,"412,191",147,10,310,9.16,7.28,10.72,17.02,12.24,12.34,17.92,9.3,4.01,46.43,53.57,"2,142"
5601,光明池,"31,285","7,985","3,713",46.5,"1,280","5,269","1,381","6,317","3,010",588,20,77,"1,354,178",208,20,0,9.92,10.94,9.24,14.56,15.54,13.63,14.98,7.05,4.14,62.34,32.47,"3,337"
5602,和泉中央,"30,908","5,757","2,786",48.39,"1,114","3,899",598,"3,722","2,023",404,20,44,"958,507",119,15,107,11.73,15.78,9.27,14.07,20.27,12.66,9.48,4.35,2.39,50,43.18,"1,777"
5603,恵美須町,949,"13,654","8,279",60.63,731,"9,010","3,452","14,723","9,845","7,034",71,214,"2,534,626","1,035",137,616,3.74,4.28,16.69,14.23,11.64,13.35,19.07,12.19,4.81,56.54,36.45,"9,806"
5604,新今宮駅前,674,"22,684","18,256",80.48,496,"13,083","8,178","21,842","19,221","12,753",66,240,"1,529,752","1,177",190,837,1.48,2.18,6.92,7.46,10.69,17.95,31.51,18.1,3.71,52.92,45,"8,942"
5605,今池,73,"24,427","19,545",80.01,547,"13,237","9,732","23,047","19,919","13,163",66,306,"1,695,133","1,422",213,538,1.51,2.14,4.24,5.77,10.35,18.07,32.92,20.12,4.89,55.88,42.81,"8,428"
5606,今船,135,"19,250","13,113",68.12,871,"10,562","7,374","19,523","13,391","8,789",66,291,"1,584,471","1,278",180,"2,141",2.96,3.79,6.14,7.54,10.72,15.85,27.39,18.98,6.64,52.92,45.02,"6,696"
5607,松田町,86,"15,718","8,541",54.34,"1,235","8,934","5,362","16,366","8,999","5,424",60,196,"1,131,517",863,112,"3,278",5.05,5.96,9,10.74,11.47,13.08,20.26,16.59,7.85,47.45,48.98,"4,616"
5608,北天下茶屋,94,"14,722","7,588",51.54,"1,289","8,623","4,634","14,289","8,219","4,818",59,167,"1,371,102",758,101,"2,269",5.75,6.4,9.84,12.29,11.97,12.43,18.59,15.3,7.43,47.9,47.9,"4,738"
5610,天神ノ森,166,"14,598","7,274",49.83,"1,556","8,879","3,990","9,286","7,638","4,001",52,77,"638,621",443,55,806,6.98,8.1,9.38,13.12,13.59,12.56,16.71,13.22,6.34,51.95,44.16,"2,538"
5611,東玉出,101,"14,258","7,013",49.19,"1,515","8,726","3,845","10,054","7,418","3,841",52,116,"650,123",549,67,775,7.1,7.76,9.53,13.16,13.65,12.74,16.66,12.84,6.56,52.59,43.1,"3,199"
5612,塚西,194,"13,615","6,447",47.35,"1,498","8,448","3,544","11,787","6,664","3,038",46,117,"615,203",572,64,"2,016",7.35,7.99,9.77,12.88,13.89,13.08,16.2,11.9,6.95,54.7,41.88,"3,880"
5613,東粉浜,98,"12,941","6,002",46.38,"1,416","7,975","3,485","12,658","5,988","2,383",40,257,"1,216,554",852,90,"2,510",6.82,8.79,9.76,12.52,13.49,12.89,16.09,11.84,7.8,54.86,43.97,"4,795"
5614,住吉,"1,105","12,536","5,865",46.79,"1,432","7,698","3,341","10,415","5,786","2,357",41,243,"1,086,518",801,80,679,7.18,8.88,9.75,12.73,13.56,12.73,15.43,11.97,7.75,53.91,44.86,"4,447"
5615,住吉鳥居前,"1,550","12,823","6,095",47.53,"1,520","7,988","3,244","9,611","5,994","2,517",42,206,"903,568",750,76,1,7.4,9.05,9.94,13.35,14.02,12.65,15.01,11.71,6.86,53.4,44.66,"4,216"
5616,細井川,484,"13,497","6,468",47.92,"1,601","8,480","3,346","9,305","6,272","2,604",42,131,"545,090",618,62,305,7.39,9.05,10.34,13.67,14.31,12.32,14.83,11.78,6.32,54.96,41.22,"3,315"
5617,安立町,778,"13,416","6,415",47.82,"1,530","8,412","3,415","10,317","6,068","2,367",39,164,"758,463",622,61,927,7.14,9.02,10.6,12.89,14.26,12.51,14.98,12.31,6.28,55.49,41.46,"3,585"
5618,我孫子道,"2,042","11,933","5,670",47.52,"1,472","7,316","3,111","9,196","5,353","2,023",38,164,"711,059",572,49,843,8.18,8.91,10.96,12.66,13.34,12,14.83,12.51,6.62,54.88,42.68,"3,076"
5619,大和川,78,"6,801","3,210",47.2,760,"4,244","1,775","5,774","3,058","1,079",35,31,"228,873",246,14,66,6.87,8.7,10.93,12.7,12.21,12.89,17.3,11.95,6.45,58.06,38.71,"2,645"
5620,高須神社,241,"7,509","3,616",48.16,877,"4,717","1,887","6,664","3,263","1,106",34,92,"756,167",449,34,391,6.98,9.1,9.6,13.11,13.75,12.99,17.19,11.24,6.04,48.91,44.57,"3,310"
5621,綾ノ町,336,"8,408","4,091",48.66,"1,119","5,319","1,933","7,241","3,540","1,147",32,102,"996,620",515,36,722,8.3,9.81,9.33,13.92,14.82,12.45,15.12,10.5,5.75,49.02,41.18,"3,563"
5622,神明町,248,"8,398","4,121",49.07,"1,175","5,449","1,724","7,936","3,673","1,314",36,84,"1,245,338",545,47,"1,196",9.28,9.57,9.86,16.34,14.53,11.98,14.11,9.19,5.14,48.81,38.1,"4,046"
5623,妙国寺前,257,"7,779","3,805",48.91,"1,027","5,040","1,649","8,827","3,606","1,473",41,100,"1,407,238",645,67,"1,627",9.01,8.85,10.19,16.88,14.09,11.82,14.39,9.49,5.29,52,38,"4,699"
5624,花田口,356,"7,642","3,717",48.64,910,"4,957","1,702","10,470","3,739","1,679",45,144,"1,946,928",806,89,"1,752",8.13,8.06,10.33,16.35,14.26,12.28,15.09,10.36,5.15,59.72,35.42,"6,200"
5625,大小路,461,"8,336","4,031",48.36,925,"5,396","1,923","12,406","4,203","2,003",48,221,"3,074,569",975,116,"1,225",7.42,7.45,10.2,15.54,14.82,12.76,15.5,10.64,5.66,65.16,33.03,"8,431"
5626,宿院,424,"9,490","4,691",49.43,"1,019","6,192","2,161","11,082","4,929","2,516",51,179,"2,228,060",855,101,670,7.27,7.16,10.76,15.89,14.65,12.83,15.28,10.38,5.79,63.13,35.2,"7,446"
5627,寺地町,398,"9,732","4,791",49.23,"1,010","6,159","2,470","8,715","4,905","2,378",48,130,"1,044,300",599,67,409,6.91,7.37,10.71,14.59,13.45,12.97,15.68,11.94,6.39,51.54,46.15,"4,875"
5628,御陵前,309,"8,749","4,268",48.78,866,"5,285","2,534","7,013","4,219","1,846",44,123,"691,273",497,50,254,6.55,7.62,10.01,12.76,12.5,12.73,16.64,13.63,7.55,47.97,49.59,"3,242"
5629,東湊,572,"9,145","4,420",48.33,"1,149","5,655","2,279","8,205","4,062","1,502",37,95,"705,455",393,42,474,8.12,9.29,9.7,13.3,13.06,12.66,16.22,11.13,6.53,43.16,51.58,"4,114"
5630,石津,330,"8,543","4,167",48.78,997,"5,319","2,196","6,147","3,730","1,316",35,73,"316,233",370,34,339,7.4,8.62,10.49,12.81,13.36,12.77,16.1,11.42,7.03,53.42,43.84,"2,301"
5631,船尾,346,"8,524","4,007",47.01,"1,029","5,231","2,238","5,402","3,628","1,112",31,69,"503,342",255,23,475,7.66,8.41,9.73,12.68,12.72,13.3,16.62,12.24,6.64,46.38,49.28,"1,406"
5632,浜寺駅前,"1,150","4,366","2,045",46.84,758,"2,707",896,"2,864","1,645",394,24,18,"200,277",95,14,694,11.23,11.07,8.37,14.72,15.82,11.3,12.15,9.08,6.26,44.44,55.56,613
5633,天王寺駅前,"9,787","11,318","5,233",46.24,"1,171","7,255","2,672","27,494","5,768","2,892",50,485,"14,815,040","1,419",221,"2,803",7.11,7.69,12.67,14.24,14.18,12.57,13.68,10.8,7.07,75.88,23.3,"20,691"
5634,阿倍野,"1,300","16,773","7,626",45.47,"1,966","10,817","3,887","17,742","7,935","3,493",44,199,"9,446,596",863,115,"2,914",7.82,8.57,11.7,14.2,14.69,12.34,13.61,10.28,6.8,65.33,32.66,"8,694"
5637,北畠,"1,401","12,211","5,655",46.31,"1,714","7,413","3,040","9,376","5,051","1,518",30,132,"510,208",420,40,"1,999",8.68,10.69,8.86,12.08,15.15,12.36,13.52,11.47,7.19,53.03,44.7,"2,063"
5638,姫松,"1,586","10,784","4,899",45.43,"1,472","6,557","2,701","8,559","4,568","1,517",33,104,"686,122",404,42,"1,317",8.82,9.6,8.97,12.58,15.1,12.52,13.27,11.12,8.03,54.81,38.46,"2,740"
5639,帝塚山三丁目,647,"9,723","4,335",44.59,"1,144","5,749","2,803","10,207","4,093","1,318",32,124,"927,080",490,53,"2,180",7.86,8.18,8.72,11.7,14.48,12.42,14.28,12.22,10.15,53.23,38.71,"3,920"
5640,帝塚山四丁目,719,"10,363","4,715",45.5,"1,194","6,120","3,021","11,093","4,399","1,466",33,107,"682,393",470,42,"3,171",7.59,8.3,9.1,11.76,13.71,12.23,14.83,12.64,9.84,50.47,43.93,"3,513"
5641,神ノ木,352,"11,603","5,386",46.42,"1,347","6,949","3,261","10,769","5,086","1,879",37,131,"631,977",538,44,"2,574",7.5,8.61,9.67,12.19,13.27,12.25,15.07,12.43,9,51.15,46.56,"3,274"
5642,住吉,"1,105","12,548","5,857",46.68,"1,422","7,695","3,366","10,673","5,784","2,342",40,251,"1,123,372",815,82,884,7.12,8.88,9.71,12.65,13.52,12.75,15.53,11.99,7.84,54.18,44.62,"4,504"
5643,住吉公園,22,"12,807","6,044",47.19,"1,484","7,923","3,327","10,011","5,989","2,508",42,230,"1,022,495",793,81,121,7.22,9.02,9.75,13.04,13.83,12.7,15.35,11.87,7.21,53.04,44.78,"4,488"
5644,淀屋橋,"114,801","2,687","1,308",48.68,169,"2,097",376,"80,925","1,835","1,297",71,211,"3,184,750","3,411",259,"1,023",4.81,3.59,19.41,22.63,16.57,12.9,10.14,6.21,3.75,67.3,31.75,"79,496"
5645,北浜,"35,241","6,466","3,072",47.51,473,"5,036",853,"62,055","4,262","2,900",68,177,"2,935,657","3,191",249,"2,055",5.63,4.23,18.53,22.57,16.99,12.35,10.31,5.82,3.57,67.23,28.81,"58,957"
5646,天満橋,"61,016","8,974","4,219",47.01,676,"6,936","1,226","39,001","5,813","4,009",69,177,"4,035,798","2,997",220,"2,384",5.36,5.5,20.02,21.98,15.14,11.58,10.5,6.06,3.86,67.8,29.38,"35,071"
5647,京橋,"183,497","9,657","4,694",48.61,761,"6,755","1,936","34,677","5,608","3,395",61,319,"3,886,621","1,612",225,"1,245",5.5,5.6,15.08,17.19,14.46,13.86,13.99,8.96,5.36,70.53,27.59,"30,198"
5648,野江,"12,010","18,530","8,894",48,"2,558","12,317","3,506","14,755","9,087","4,235",47,163,"1,586,868",950,91,"1,733",9.65,8.2,12.31,18.24,15.1,10.77,12.52,8.74,4.47,54.6,40.49,"6,842"
5649,関目,"15,862","17,659","8,442",47.81,"1,980","11,613","3,972","13,339","8,729","3,959",45,175,"1,675,766",970,101,432,7.08,8.29,12.29,15.38,14.21,11.98,14.8,10.6,5.36,52.57,40.57,"6,377"
5650,森小路,"11,615","14,726","6,935",47.09,"1,628","9,356","3,711","12,660","7,046","3,062",43,266,"1,800,973",959,100,943,7.06,8.15,11.85,14.57,13.47,11.77,14.77,11.44,6.93,56.77,42.11,"6,040"
5651,千林,"9,477","14,005","6,652",47.5,"1,454","8,791","3,717","13,969","6,914","3,268",47,359,"1,945,218",992,96,"1,747",6.76,7.59,12.41,14.11,12.79,11.51,15.24,12.03,7.57,57.94,41.23,"6,993"
5652,滝井,"7,844","13,659","6,594",48.28,"1,355","8,723","3,456","15,245","7,127","3,733",52,247,"1,190,885",872,94,"2,094",6.51,7.7,13.03,14.58,12.91,11.65,14.96,11.58,7.07,53.04,44.53,"8,343"
5653,土居,"6,937","12,311","5,922",48.1,"1,157","7,810","3,185","15,438","6,489","3,403",52,228,"1,286,397",875,97,"2,036",6.11,7.59,12.53,14.48,12.92,11.55,15.88,12.07,6.86,50.88,46.49,"9,034"
5654,守口市,"43,152","10,934","5,173",47.31,"1,020","6,934","2,840","17,134","5,674","2,917",51,192,"4,541,674",997,107,"1,438",5.91,7.63,11.7,14.29,14.05,11.92,15.38,11.86,7.25,60.42,36.46,"11,819"
5655,西三荘,"25,196","11,535","5,813",50.39,"1,234","7,323","2,916","10,375","5,839","2,819",48,138,"596,414",629,76,580,6.79,7.99,10.1,14.46,14.71,12.12,15.91,13.18,4.75,50,46.38,"5,520"
5656,門真市,"35,590","10,480","5,211",49.72,"1,089","6,844","2,493","13,738","5,363","2,552",48,113,"1,142,654",609,90,"1,152",6.71,7.88,10.1,15.33,15.23,12.28,16.23,12.54,3.7,55.75,39.82,"8,722"
5657,古川橋,"23,444","10,503","5,138",48.92,"1,159","6,631","2,672","12,061","5,275","2,591",49,190,"2,210,093",738,103,"1,044",7.23,7.89,10.57,15.2,14.27,11.37,16.01,12.11,5.35,64.21,32.11,"6,901"
5658,大和田,"21,878","14,003","6,831",48.78,"1,534","8,988","3,374","10,760","6,876","3,168",46,174,"918,521",700,108,"1,589",6.73,9.22,11.5,14.46,14.38,11.14,16.63,12.01,3.94,53.45,43.68,"4,080"
