駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5537,貝塚,"20,029","5,430","2,611",48.08,698,"3,386","1,338","5,924","2,245",753,34,134,"612,008",455,37,330,7.9,9.85,10.4,12.82,14.83,12.29,13.56,11.71,6.64,43.28,51.49,"3,440"
5538,二色浜,"4,375","5,206","2,518",48.37,889,"3,451",858,"2,893","1,999",495,25,35,"309,252",155,16,0,11.21,11.31,9.59,17.23,16.61,10.69,12.27,7.48,3.61,51.43,28.57,"1,068"
5539,鶴原,"3,174","4,797","2,233",46.55,733,"2,975","1,088","3,930","1,877",472,25,41,"191,858",182,13,688,10.13,10.48,9.92,14.26,13.3,11.53,15.51,10.21,4.67,41.46,46.34,"1,285"
5540,井原里,"3,011","3,932","1,868",47.51,491,"2,456",985,"3,820","1,427",365,26,52,"788,222",217,22,383,7.91,9.89,10.07,13.17,13.5,12.13,15.18,10.58,7.58,65.38,17.31,"1,743"
5541,泉佐野,"22,303","5,496","2,577",46.89,662,"3,412","1,422","7,974","2,355",896,38,171,"750,522",674,65,"1,227",7.84,8.21,11.45,13.83,13.48,11.43,14.94,11.83,6.99,56.73,40.94,"4,452"
5542,羽倉崎,"5,944","6,131","2,833",46.21,814,"4,015","1,301","4,516","2,569",820,32,49,"902,481",248,28,516,8.21,10.23,11.84,13.98,13.75,12.41,14.91,10.38,4.29,44.9,44.9,"1,655"
5543,吉見ノ里,"3,521","3,653","1,784",48.84,617,"2,248",793,"2,811","1,451",421,29,38,"101,672",153,10,657,11.6,9.82,9.52,16.58,12.17,11.05,14.61,9.76,4.9,52.63,39.47,821
5544,岡田浦,"2,454","2,827","1,324",46.83,366,"1,700",761,"2,534","1,068",255,24,32,"87,909",134,2,465,8.7,8.49,11.32,12.52,12.2,12.27,15.53,12.73,6.23,43.75,43.75,856
5545,樽井,"7,545","3,624","1,737",47.93,527,"2,227",869,"3,617","1,343",316,24,50,"756,704",219,23,214,7.95,12.5,9.55,12.39,15.35,10.49,15.13,10.74,5.91,70,26,"1,939"
5546,尾崎,"11,321","3,808","1,797",47.19,558,"2,393",855,"4,905","1,491",402,27,93,"847,668",398,35,235,9.04,10.25,9.91,14.45,14.38,11.96,14.32,10.75,4.94,52.69,43.01,"3,073"
5547,鳥取ノ荘,"3,822","2,422","1,149",47.44,324,"1,446",652,"2,056",903,188,21,23,"156,920",113,5,64,7.92,10.81,9.29,11.06,13.62,13,15.56,11.89,6.85,39.13,47.83,908
